timecode,lat,lat_dir,lon,lon_dir,sensor
260324_015259_000,4159.9551,N,8739.6035,W,295
260324_015259_100,4159.9551,N,8739.6035,W,280
260324_015259_200,4159.9551,N,8739.6035,W,269
260324_015259_300,4159.9551,N,8739.6035,W,260
260324_015259_400,4159.9551,N,8739.6035,W,253
260324_015259_500,4159.9551,N,8739.6035,W,247
260324_015259_600,4159.9551,N,8739.6035,W,242
260324_015259_700,4159.9551,N,8739.6035,W,238
260324_015259_800,4159.9551,N,8739.6035,W,234
260324_015259_900,4159.9551,N,8739.6035,W,230
260324_015300_000,4159.9551,N,8739.6035,W,227
260324_015300_000,4159.9614,N,8739.6006,W,225
260324_015300_100,4159.9614,N,8739.6006,W,223
260324_015300_200,4159.9614,N,8739.6006,W,222
260324_015300_300,4159.9614,N,8739.6006,W,220
260324_015300_400,4159.9614,N,8739.6006,W,218
260324_015300_500,4159.9614,N,8739.6006,W,217
260324_015300_600,4159.9614,N,8739.6006,W,216
260324_015300_700,4159.9614,N,8739.6006,W,215
260324_015300_800,4159.9614,N,8739.6006,W,211
260324_015301_000,4159.9678,N,8739.5977,W,210
260324_015301_100,4159.9678,N,8739.5977,W,211
260324_015301_200,4159.9678,N,8739.5977,W,212
260324_015301_300,4159.9678,N,8739.5977,W,212
260324_015301_400,4159.9678,N,8739.5977,W,212
260324_015301_500,4159.9678,N,8739.5977,W,212
260324_015301_600,4159.9678,N,8739.5977,W,212
260324_015301_700,4159.9678,N,8739.5977,W,212
260324_015301_800,4159.9678,N,8739.5977,W,212
260324_015301_900,4159.9678,N,8739.5977,W,211
260324_015302_000,4159.9731,N,8739.5947,W,211
260324_015302_100,4159.9731,N,8739.5947,W,211
260324_015302_200,4159.9731,N,8739.5947,W,211
260324_015302_300,4159.9731,N,8739.5947,W,211
260324_015302_400,4159.9731,N,8739.5947,W,211
260324_015302_500,4159.9731,N,8739.5947,W,211
260324_015302_600,4159.9731,N,8739.5947,W,211
260324_015302_700,4159.9731,N,8739.5947,W,211
260324_015302_800,4159.9731,N,8739.5947,W,211
