timecode,lat,lat_dir,lon,lon_dir,sensor
260324_012804_000,4159.9839,N,8739.3809,W,289
260324_012804_100,4159.9839,N,8739.3809,W,275
260324_012804_200,4159.9839,N,8739.3809,W,265
260324_012804_300,4159.9839,N,8739.3809,W,256
260324_012804_400,4159.9839,N,8739.3809,W,249
260324_012804_500,4159.9839,N,8739.3809,W,243
260324_012804_600,4159.9839,N,8739.3809,W,239
260324_012804_700,4159.9839,N,8739.3809,W,235
260324_012804_800,4159.9839,N,8739.3809,W,230
260324_012804_900,4159.9839,N,8739.3809,W,227
260324_012805_000,4159.9839,N,8739.3799,W,224
260324_012805_100,4159.9839,N,8739.3799,W,222
260324_012805_200,4159.9839,N,8739.3799,W,220
260324_012805_300,4159.9839,N,8739.3799,W,219
260324_012805_400,4159.9839,N,8739.3799,W,216
260324_012805_500,4159.9839,N,8739.3799,W,213
260324_012805_600,4159.9839,N,8739.3799,W,212
260324_012805_700,4159.9839,N,8739.3799,W,208
260324_012805_800,4159.9839,N,8739.3799,W,207
260324_012805_900,4159.9839,N,8739.3799,W,207
260324_012806_000,4159.9844,N,8739.3779,W,208
260324_012806_100,4159.9844,N,8739.3779,W,209
260324_012806_200,4159.9844,N,8739.3779,W,211
260324_012806_300,4159.9844,N,8739.3779,W,211
260324_012806_400,4159.9844,N,8739.3779,W,210
260324_012806_500,4159.9844,N,8739.3779,W,205
260324_012806_600,4159.9844,N,8739.3779,W,200
260324_012806_700,4159.9844,N,8739.3779,W,198
260324_012806_800,4159.9844,N,8739.3779,W,193
260324_012806_900,4159.9844,N,8739.3779,W,187
260324_012807_000,4159.9844,N,8739.3779,W,181
260324_012807_100,4159.9844,N,8739.3779,W,178
260324_012807_200,4159.9844,N,8739.3779,W,182
260324_012807_300,4159.9844,N,8739.3779,W,190
260324_012807_400,4159.9844,N,8739.3779,W,198
260324_012807_500,4159.9844,N,8739.3779,W,204
260324_012807_600,4159.9844,N,8739.3779,W,211
260324_012807_700,4159.9844,N,8739.3779,W,212
260324_012807_800,4159.9844,N,8739.3779,W,211
260324_012807_900,4159.9844,N,8739.3779,W,210
260324_012808_000,4159.9849,N,8739.3779,W,210
260324_012808_100,4159.9849,N,8739.3779,W,209
260324_012808_200,4159.9849,N,8739.3779,W,210
260324_012808_300,4159.9849,N,8739.3779,W,209
260324_012808_400,4159.9849,N,8739.3779,W,209
260324_012808_500,4159.9849,N,8739.3779,W,209
260324_012808_600,4159.9849,N,8739.3779,W,209
260324_012808_700,4159.9849,N,8739.3779,W,209
260324_012808_800,4159.9849,N,8739.3779,W,208
260324_012808_900,4159.9849,N,8739.3779,W,209
260324_012809_000,4159.9849,N,8739.3789,W,208
260324_012809_100,4159.9849,N,8739.3789,W,208
260324_012809_200,4159.9849,N,8739.3789,W,208
260324_012809_300,4159.9849,N,8739.3789,W,208
260324_012809_400,4159.9849,N,8739.3789,W,208
260324_012809_500,4159.9849,N,8739.3789,W,208
260324_012809_600,4159.9849,N,8739.3789,W,208
260324_012809_700,4159.9849,N,8739.3789,W,208
260324_012809_800,4159.9849,N,8739.3789,W,208
260324_012809_900,4159.9849,N,8739.3789,W,208
260324_012810_000,4159.9844,N,8739.3809,W,208
260324_012810_100,4159.9844,N,8739.3809,W,208
260324_012810_200,4159.9844,N,8739.3809,W,208
260324_012810_300,4159.9844,N,8739.3809,W,208
260324_012810_400,4159.9844,N,8739.3809,W,209
260324_012810_500,4159.9844,N,8739.3809,W,208
260324_012810_600,4159.9844,N,8739.3809,W,208
260324_012810_700,4159.9844,N,8739.3809,W,208
260324_012810_800,4159.9844,N,8739.3809,W,221
260324_012810_900,4159.9844,N,8739.3809,W,225
260324_012811_000,4159.9849,N,8739.3789,W,223
260324_012811_100,4159.9849,N,8739.3789,W,221
260324_012811_200,4159.9849,N,8739.3789,W,218
260324_012811_300,4159.9849,N,8739.3789,W,217
260324_012811_400,4159.9849,N,8739.3789,W,215
260324_012811_500,4159.9849,N,8739.3789,W,214
260324_012811_600,4159.9849,N,8739.3789,W,216
260324_012811_700,4159.9849,N,8739.3789,W,215
260324_012811_800,4159.9849,N,8739.3789,W,214
260324_012811_900,4159.9849,N,8739.3789,W,214
260324_012812_000,4159.9849,N,8739.3779,W,213
260324_012812_100,4159.9849,N,8739.3779,W,213
260324_012812_200,4159.9849,N,8739.3779,W,212
260324_012812_300,4159.9849,N,8739.3779,W,212
260324_012812_400,4159.9849,N,8739.3779,W,211
260324_012812_500,4159.9849,N,8739.3779,W,211
260324_012812_600,4159.9849,N,8739.3779,W,211
260324_012812_700,4159.9849,N,8739.3779,W,211
260324_012812_800,4159.9849,N,8739.3779,W,211
