timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260330_200125_000,72085.000,4200.0171,N,8739.2715,W,457
260330_200125_426,72085.000,4200.0171,N,8739.2715,W,421
260330_200125_525,72085.000,4200.0171,N,8739.2715,W,391
260330_200125_625,72085.000,4200.0171,N,8739.2715,W,369
260330_200125_725,72085.000,4200.0171,N,8739.2715,W,350
260330_200125_825,72085.000,4200.0171,N,8739.2715,W,335
260330_200125_925,72085.000,4200.0171,N,8739.2715,W,321
260330_200126_025,72086.000,4200.0171,N,8739.2715,W,309
260330_200126_125,72086.000,4200.0171,N,8739.2715,W,300
260330_200126_225,72086.000,4200.0171,N,8739.2715,W,291
260330_200126_325,72086.000,4200.0171,N,8739.2715,W,283
260330_200126_425,72086.000,4200.0171,N,8739.2715,W,277
260330_200126_525,72086.000,4200.0171,N,8739.2715,W,271
260330_200126_625,72086.000,4200.0171,N,8739.2715,W,266
260330_200126_725,72086.000,4200.0171,N,8739.2715,W,261
260330_200126_825,72086.000,4200.0171,N,8739.2715,W,257
260330_200126_925,72086.000,4200.0171,N,8739.2715,W,254
260330_200127_025,72087.000,4200.0171,N,8739.2715,W,251
260330_200127_125,72087.000,4200.0171,N,8739.2715,W,248
260330_200127_000,72087.000,4200.0176,N,8739.2715,W,245
260330_200127_100,72087.000,4200.0176,N,8739.2715,W,243
260330_200127_200,72087.000,4200.0176,N,8739.2715,W,241
260330_200127_300,72087.000,4200.0176,N,8739.2715,W,240
260330_200127_400,72087.000,4200.0176,N,8739.2715,W,238
260330_200127_500,72087.000,4200.0176,N,8739.2715,W,237
260330_200127_600,72087.000,4200.0176,N,8739.2715,W,235
260330_200127_700,72087.000,4200.0176,N,8739.2715,W,234
260330_200128_000,72088.000,4200.0171,N,8739.2734,W,232
260330_200128_100,72088.000,4200.0171,N,8739.2734,W,231
260330_200128_200,72088.000,4200.0171,N,8739.2734,W,230
260330_200128_300,72088.000,4200.0171,N,8739.2734,W,229
260330_200128_400,72088.000,4200.0171,N,8739.2734,W,228
260330_200128_500,72088.000,4200.0171,N,8739.2734,W,227
260330_200128_600,72088.000,4200.0171,N,8739.2734,W,226
260330_200128_700,72088.000,4200.0171,N,8739.2734,W,225
260330_200128_800,72088.000,4200.0171,N,8739.2734,W,225
260330_200128_900,72088.000,4200.0171,N,8739.2734,W,224
260330_200129_000,72089.000,4200.0171,N,8739.2744,W,224
260330_200129_100,72089.000,4200.0171,N,8739.2744,W,223
260330_200129_200,72089.000,4200.0171,N,8739.2744,W,223
260330_200129_300,72089.000,4200.0171,N,8739.2744,W,222
260330_200129_400,72089.000,4200.0171,N,8739.2744,W,222
260330_200129_500,72089.000,4200.0171,N,8739.2744,W,222
260330_200129_600,72089.000,4200.0171,N,8739.2744,W,221
260330_200129_700,72089.000,4200.0171,N,8739.2744,W,221
260330_200129_800,72089.000,4200.0171,N,8739.2744,W,221
260330_200129_900,72089.000,4200.0171,N,8739.2744,W,221
260330_200130_000,72090.000,4200.0171,N,8739.2734,W,220
260330_200130_100,72090.000,4200.0171,N,8739.2734,W,220
260330_200130_200,72090.000,4200.0171,N,8739.2734,W,220
260330_200130_300,72090.000,4200.0171,N,8739.2734,W,220
260330_200130_400,72090.000,4200.0171,N,8739.2734,W,219
260330_200130_500,72090.000,4200.0171,N,8739.2734,W,219
260330_200130_600,72090.000,4200.0171,N,8739.2734,W,219
260330_200130_700,72090.000,4200.0171,N,8739.2734,W,218
260330_200130_800,72090.000,4200.0171,N,8739.2734,W,218
260330_200130_900,72090.000,4200.0171,N,8739.2734,W,217
260330_200131_000,72091.000,4200.0171,N,8739.2725,W,216
260330_200131_100,72091.000,4200.0171,N,8739.2725,W,216
260330_200131_200,72091.000,4200.0171,N,8739.2725,W,219
260330_200131_300,72091.000,4200.0171,N,8739.2725,W,219
260330_200131_400,72091.000,4200.0171,N,8739.2725,W,216
260330_200131_500,72091.000,4200.0171,N,8739.2725,W,210
260330_200131_600,72091.000,4200.0171,N,8739.2725,W,207
260330_200131_700,72091.000,4200.0171,N,8739.2725,W,206
260330_200131_800,72091.000,4200.0171,N,8739.2725,W,206
260330_200131_900,72091.000,4200.0171,N,8739.2725,W,207
260330_200132_000,72092.000,4200.0176,N,8739.2725,W,208
260330_200132_100,72092.000,4200.0176,N,8739.2725,W,208
260330_200132_200,72092.000,4200.0176,N,8739.2725,W,208
260330_200132_300,72092.000,4200.0176,N,8739.2725,W,211
260330_200132_400,72092.000,4200.0176,N,8739.2725,W,213
260330_200132_500,72092.000,4200.0176,N,8739.2725,W,215
260330_200132_600,72092.000,4200.0176,N,8739.2725,W,216
260330_200132_700,72092.000,4200.0176,N,8739.2725,W,217
260330_200132_800,72092.000,4200.0176,N,8739.2725,W,217
260330_200132_900,72092.000,4200.0176,N,8739.2725,W,217
260330_200133_000,72093.000,4200.0176,N,8739.2725,W,217
260330_200133_100,72093.000,4200.0176,N,8739.2725,W,218
260330_200133_000,72093.000,4200.0171,N,8739.2744,W,217
260330_200133_100,72093.000,4200.0171,N,8739.2744,W,217
260330_200133_200,72093.000,4200.0171,N,8739.2744,W,217
260330_200133_300,72093.000,4200.0171,N,8739.2744,W,217
260330_200133_400,72093.000,4200.0171,N,8739.2744,W,218
260330_200133_500,72093.000,4200.0171,N,8739.2744,W,218
260330_200133_600,72093.000,4200.0171,N,8739.2744,W,217
260330_200133_700,72093.000,4200.0171,N,8739.2744,W,217
260330_200134_000,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_100,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_200,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_300,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_400,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_500,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_600,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_700,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_800,72094.000,4200.0166,N,8739.2764,W,217
260330_200134_900,72094.000,4200.0166,N,8739.2764,W,217
260330_200135_000,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_100,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_200,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_300,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_400,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_500,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_600,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_700,72095.000,4200.0161,N,8739.2783,W,217
260330_200135_800,72095.000,4200.0161,N,8739.2783,W,216
260330_200135_900,72095.000,4200.0161,N,8739.2783,W,216
260330_200136_000,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_100,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_200,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_300,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_400,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_500,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_600,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_700,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_800,72096.000,4200.0161,N,8739.2793,W,216
260330_200136_900,72096.000,4200.0161,N,8739.2793,W,216
260330_200137_000,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_100,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_200,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_300,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_400,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_500,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_600,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_700,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_800,72097.000,4200.0156,N,8739.2803,W,216
260330_200137_900,72097.000,4200.0156,N,8739.2803,W,216
260330_200138_000,72098.000,4200.0156,N,8739.2812,W,216
260330_200138_100,72098.000,4200.0156,N,8739.2812,W,216
260330_200138_200,72098.000,4200.0156,N,8739.2812,W,216
260330_200138_300,72098.000,4200.0156,N,8739.2812,W,216
260330_200138_400,72098.000,4200.0156,N,8739.2812,W,216
260330_200138_500,72098.000,4200.0156,N,8739.2812,W,216
260330_200138_600,72098.000,4200.0156,N,8739.2812,W,216
260330_200138_700,72098.000,4200.0156,N,8739.2812,W,216
