timecode,lat,lat_dir,lon,lon_dir,sensor
260324_221401_000,4200.0933,N,8739.4717,W,262
260324_221401_100,4200.0933,N,8739.4717,W,253
260324_221401_200,4200.0933,N,8739.4717,W,247
260324_221401_300,4200.0933,N,8739.4717,W,239
260324_221401_400,4200.0933,N,8739.4717,W,235
260324_221401_500,4200.0933,N,8739.4717,W,230
260324_221401_600,4200.0933,N,8739.4717,W,227
260324_221401_700,4200.0933,N,8739.4717,W,215
260324_221401_800,4200.0933,N,8739.4717,W,213
260324_221401_900,4200.0933,N,8739.4717,W,213
260324_221402_000,4200.0913,N,8739.4717,W,213
260324_221402_100,4200.0913,N,8739.4717,W,212
260324_221402_200,4200.0913,N,8739.4717,W,212
260324_221402_300,4200.0913,N,8739.4717,W,214
260324_221402_400,4200.0913,N,8739.4717,W,215
260324_221402_500,4200.0913,N,8739.4717,W,216
260324_221402_600,4200.0913,N,8739.4717,W,216
260324_221402_700,4200.0913,N,8739.4717,W,215
260324_221402_800,4200.0913,N,8739.4717,W,214
260324_221402_900,4200.0913,N,8739.4717,W,214
260324_221403_000,4200.0889,N,8739.4717,W,212
260324_221403_100,4200.0889,N,8739.4717,W,211
260324_221403_200,4200.0889,N,8739.4717,W,210
260324_221403_300,4200.0889,N,8739.4717,W,210
260324_221403_400,4200.0889,N,8739.4717,W,211
260324_221403_500,4200.0889,N,8739.4717,W,211
260324_221403_600,4200.0889,N,8739.4717,W,211
260324_221403_700,4200.0889,N,8739.4717,W,210
260324_221403_800,4200.0889,N,8739.4717,W,210
260324_221403_900,4200.0889,N,8739.4717,W,210
260324_221404_000,4200.0879,N,8739.4717,W,210
260324_221404_100,4200.0879,N,8739.4717,W,210
260324_221404_200,4200.0879,N,8739.4717,W,209
260324_221404_300,4200.0879,N,8739.4717,W,209
260324_221404_400,4200.0879,N,8739.4717,W,209
260324_221404_500,4200.0879,N,8739.4717,W,209
260324_221404_600,4200.0879,N,8739.4717,W,209
260324_221404_700,4200.0879,N,8739.4717,W,209
260324_221404_800,4200.0879,N,8739.4717,W,208
260324_221404_900,4200.0879,N,8739.4717,W,208
260324_221405_000,4200.0889,N,8739.4717,W,209
260324_221405_100,4200.0889,N,8739.4717,W,208
260324_221405_200,4200.0889,N,8739.4717,W,208
260324_221405_300,4200.0889,N,8739.4717,W,208
260324_221405_400,4200.0889,N,8739.4717,W,208
260324_221405_500,4200.0889,N,8739.4717,W,208
260324_221405_600,4200.0889,N,8739.4717,W,208
260324_221405_700,4200.0889,N,8739.4717,W,208
260324_221405_800,4200.0889,N,8739.4717,W,208
260324_221405_900,4200.0889,N,8739.4717,W,208
260324_221406_000,4200.0913,N,8739.4717,W,208
260324_221406_100,4200.0913,N,8739.4717,W,208
260324_221406_200,4200.0913,N,8739.4717,W,208
260324_221406_300,4200.0913,N,8739.4717,W,208
260324_221406_400,4200.0913,N,8739.4717,W,208
260324_221406_500,4200.0913,N,8739.4717,W,208
260324_221406_600,4200.0913,N,8739.4717,W,208
260324_221406_700,4200.0913,N,8739.4717,W,208
260324_221406_800,4200.0913,N,8739.4717,W,207
260324_221406_900,4200.0913,N,8739.4717,W,208
260324_221407_000,4200.0942,N,8739.4717,W,207
260324_221407_100,4200.0942,N,8739.4717,W,207
260324_221407_200,4200.0942,N,8739.4717,W,207
260324_221407_300,4200.0942,N,8739.4717,W,207
260324_221407_400,4200.0942,N,8739.4717,W,207
260324_221407_500,4200.0942,N,8739.4717,W,207
260324_221407_600,4200.0942,N,8739.4717,W,207
260324_221407_700,4200.0942,N,8739.4717,W,207
260324_221407_800,4200.0942,N,8739.4717,W,207
260324_221407_900,4200.0942,N,8739.4717,W,207
260324_221408_000,4200.0923,N,8739.4707,W,207
260324_221408_100,4200.0923,N,8739.4707,W,207
260324_221408_200,4200.0923,N,8739.4707,W,207
260324_221408_300,4200.0923,N,8739.4707,W,207
260324_221408_400,4200.0923,N,8739.4707,W,208
260324_221408_500,4200.0923,N,8739.4707,W,208
260324_221408_600,4200.0923,N,8739.4707,W,208
260324_221408_700,4200.0923,N,8739.4707,W,208
260324_221408_800,4200.0923,N,8739.4707,W,208
260324_221408_900,4200.0923,N,8739.4707,W,208
260324_221409_000,4200.0918,N,8739.4697,W,208
260324_221409_100,4200.0918,N,8739.4697,W,207
260324_221409_200,4200.0918,N,8739.4697,W,207
260324_221409_300,4200.0918,N,8739.4697,W,207
260324_221409_400,4200.0918,N,8739.4697,W,207
260324_221409_500,4200.0918,N,8739.4697,W,206
260324_221409_600,4200.0918,N,8739.4697,W,206
260324_221409_700,4200.0918,N,8739.4697,W,207
260324_221409_800,4200.0918,N,8739.4697,W,206
260324_221409_900,4200.0918,N,8739.4697,W,206
260324_221410_000,4200.0908,N,8739.4697,W,206
260324_221410_100,4200.0908,N,8739.4697,W,206
260324_221410_200,4200.0908,N,8739.4697,W,206
260324_221410_300,4200.0908,N,8739.4697,W,206
260324_221410_400,4200.0908,N,8739.4697,W,206
260324_221410_500,4200.0908,N,8739.4697,W,206
260324_221410_600,4200.0908,N,8739.4697,W,207
260324_221410_700,4200.0908,N,8739.4697,W,207
260324_221410_800,4200.0908,N,8739.4697,W,207
260324_221410_900,4200.0908,N,8739.4697,W,207
260324_221411_000,4200.0898,N,8739.4688,W,207
260324_221411_100,4200.0898,N,8739.4688,W,207
260324_221411_200,4200.0898,N,8739.4688,W,207
260324_221411_300,4200.0898,N,8739.4688,W,207
260324_221411_400,4200.0898,N,8739.4688,W,207
260324_221411_500,4200.0898,N,8739.4688,W,207
260324_221411_600,4200.0898,N,8739.4688,W,207
260324_221411_700,4200.0898,N,8739.4688,W,207
260324_221411_800,4200.0898,N,8739.4688,W,207
260324_221411_900,4200.0898,N,8739.4688,W,207
260324_221412_000,4200.0898,N,8739.4688,W,207
260324_221412_100,4200.0898,N,8739.4688,W,207
260324_221412_200,4200.0898,N,8739.4688,W,207
260324_221412_300,4200.0898,N,8739.4688,W,207
260324_221412_400,4200.0898,N,8739.4688,W,208
260324_221412_500,4200.0898,N,8739.4688,W,209
260324_221412_600,4200.0898,N,8739.4688,W,209
260324_221412_700,4200.0898,N,8739.4688,W,208
260324_221412_800,4200.0898,N,8739.4688,W,208
260324_221412_900,4200.0898,N,8739.4688,W,208
260324_221413_000,4200.0898,N,8739.4678,W,208
260324_221413_100,4200.0898,N,8739.4678,W,207
260324_221413_200,4200.0898,N,8739.4678,W,206
260324_221413_300,4200.0898,N,8739.4678,W,207
260324_221413_400,4200.0898,N,8739.4678,W,207
260324_221413_500,4200.0898,N,8739.4678,W,208
260324_221413_600,4200.0898,N,8739.4678,W,210
260324_221413_700,4200.0898,N,8739.4678,W,215
260324_221413_800,4200.0898,N,8739.4678,W,216
260324_221413_900,4200.0898,N,8739.4678,W,214
260324_221414_000,4200.0884,N,8739.4668,W,209
260324_221414_100,4200.0884,N,8739.4668,W,205
260324_221414_200,4200.0884,N,8739.4668,W,206
260324_221414_300,4200.0884,N,8739.4668,W,200
260324_221414_400,4200.0884,N,8739.4668,W,187
260324_221414_500,4200.0884,N,8739.4668,W,178
260324_221414_600,4200.0884,N,8739.4668,W,175
260324_221414_700,4200.0884,N,8739.4668,W,174
260324_221414_800,4200.0884,N,8739.4668,W,175
260324_221414_900,4200.0884,N,8739.4668,W,176
260324_221415_000,4200.0889,N,8739.4658,W,179
260324_221415_100,4200.0889,N,8739.4658,W,181
260324_221415_200,4200.0889,N,8739.4658,W,184
260324_221415_300,4200.0889,N,8739.4658,W,186
260324_221415_400,4200.0889,N,8739.4658,W,188
260324_221415_500,4200.0889,N,8739.4658,W,189
260324_221415_600,4200.0889,N,8739.4658,W,191
260324_221415_700,4200.0889,N,8739.4658,W,191
260324_221415_800,4200.0889,N,8739.4658,W,192
260324_221415_900,4200.0889,N,8739.4658,W,194
260324_221416_000,4200.0903,N,8739.4648,W,196
260324_221416_100,4200.0903,N,8739.4648,W,197
260324_221416_200,4200.0903,N,8739.4648,W,198
260324_221416_300,4200.0903,N,8739.4648,W,200
260324_221416_400,4200.0903,N,8739.4648,W,202
260324_221416_500,4200.0903,N,8739.4648,W,202
260324_221416_600,4200.0903,N,8739.4648,W,202
260324_221416_700,4200.0903,N,8739.4648,W,202
260324_221416_800,4200.0903,N,8739.4648,W,201
260324_221416_900,4200.0903,N,8739.4648,W,201
260324_221417_000,4200.0918,N,8739.4639,W,202
260324_221417_100,4200.0918,N,8739.4639,W,202
260324_221417_200,4200.0918,N,8739.4639,W,201
260324_221417_300,4200.0918,N,8739.4639,W,201
260324_221417_400,4200.0918,N,8739.4639,W,202
260324_221417_500,4200.0918,N,8739.4639,W,203
260324_221417_600,4200.0918,N,8739.4639,W,204
260324_221417_700,4200.0918,N,8739.4639,W,205
260324_221417_800,4200.0918,N,8739.4639,W,206
260324_221417_900,4200.0918,N,8739.4639,W,207
260324_221418_000,4200.0913,N,8739.4629,W,209
260324_221418_100,4200.0913,N,8739.4629,W,210
260324_221418_200,4200.0913,N,8739.4629,W,213
260324_221418_300,4200.0913,N,8739.4629,W,215
260324_221418_400,4200.0913,N,8739.4629,W,216
260324_221418_500,4200.0913,N,8739.4629,W,217
260324_221418_600,4200.0913,N,8739.4629,W,218
260324_221418_700,4200.0913,N,8739.4629,W,220
260324_221418_800,4200.0913,N,8739.4629,W,223
260324_221418_900,4200.0913,N,8739.4629,W,218
260324_221419_000,4200.0913,N,8739.4629,W,213
260324_221419_100,4200.0913,N,8739.4629,W,212
260324_221419_200,4200.0913,N,8739.4629,W,214
260324_221419_300,4200.0913,N,8739.4629,W,198
260324_221419_400,4200.0913,N,8739.4629,W,191
260324_221419_500,4200.0913,N,8739.4629,W,191
260324_221419_600,4200.0913,N,8739.4629,W,190
260324_221419_700,4200.0913,N,8739.4629,W,191
260324_221419_800,4200.0913,N,8739.4629,W,191
260324_221419_900,4200.0913,N,8739.4629,W,192
