timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260402_002849_000,1729.000,4159.9863,N,8739.4639,W,14220
260402_002849_435,1729.435,4159.9863,N,8739.4639,W,4498
260402_002849_445,1729.445,4159.9863,N,8739.4639,W,13254
260402_002849_455,1729.455,4159.9863,N,8739.4639,W,14186
260402_002849_465,1729.465,4159.9863,N,8739.4639,W,14207
260402_002849_475,1729.475,4159.9863,N,8739.4639,W,14193
260402_002849_485,1729.485,4159.9863,N,8739.4639,W,14265
260402_002849_497,1729.497,4159.9863,N,8739.4639,W,4514
260402_002849_507,1729.507,4159.9863,N,8739.4639,W,10390
260402_002849_517,1729.517,4159.9863,N,8739.4639,W,14200
260402_002849_527,1729.527,4159.9863,N,8739.4639,W,14195
260402_002849_537,1729.537,4159.9863,N,8739.4639,W,14230
260402_002849_547,1729.547,4159.9863,N,8739.4639,W,14172
260402_002849_557,1729.557,4159.9863,N,8739.4639,W,4470
260402_002849_572,1729.572,4159.9863,N,8739.4639,W,10684
260402_002849_582,1729.582,4159.9863,N,8739.4639,W,14204
260402_002849_592,1729.592,4159.9863,N,8739.4639,W,14157
260402_002849_602,1729.602,4159.9863,N,8739.4639,W,14193
260402_002849_612,1729.612,4159.9863,N,8739.4639,W,14216
260402_002849_622,1729.622,4159.9863,N,8739.4639,W,8050
260402_002849_632,1729.632,4159.9863,N,8739.4639,W,4895
260402_002849_647,1729.647,4159.9863,N,8739.4639,W,14194
260402_002849_657,1729.657,4159.9863,N,8739.4639,W,14192
260402_002849_667,1729.667,4159.9863,N,8739.4639,W,14190
260402_002849_677,1729.677,4159.9863,N,8739.4639,W,14145
260402_002849_687,1729.687,4159.9863,N,8739.4639,W,4763
260402_002849_697,1729.697,4159.9863,N,8739.4639,W,4749
260402_002849_707,1729.707,4159.9863,N,8739.4639,W,14230
260402_002849_721,1729.721,4159.9863,N,8739.4639,W,14183
260402_002849_731,1729.731,4159.9863,N,8739.4639,W,14222
260402_002849_741,1729.741,4159.9863,N,8739.4639,W,14202
260402_002849_751,1729.751,4159.9863,N,8739.4639,W,5283
260402_002849_761,1729.761,4159.9863,N,8739.4639,W,4592
260402_002849_771,1729.771,4159.9863,N,8739.4639,W,14194
260402_002849_781,1729.781,4159.9863,N,8739.4639,W,14194
260402_002849_793,1729.793,4159.9863,N,8739.4639,W,14191
260402_002849_803,1729.803,4159.9863,N,8739.4639,W,14196
260402_002849_813,1729.813,4159.9863,N,8739.4639,W,12734
260402_002849_823,1729.823,4159.9863,N,8739.4639,W,4508
260402_002849_833,1729.833,4159.9863,N,8739.4639,W,14086
260402_002849_843,1729.843,4159.9863,N,8739.4639,W,14193
260402_002849_853,1729.853,4159.9863,N,8739.4639,W,14148
260402_002849_868,1729.868,4159.9863,N,8739.4639,W,14190
260402_002849_878,1729.878,4159.9863,N,8739.4639,W,6623
260402_002849_888,1729.888,4159.9863,N,8739.4639,W,4428
260402_002849_898,1729.898,4159.9863,N,8739.4639,W,12456
260402_002849_908,1729.908,4159.9863,N,8739.4639,W,14192
260402_002849_918,1729.918,4159.9863,N,8739.4639,W,14272
260402_002849_928,1729.928,4159.9863,N,8739.4639,W,14199
260402_002849_943,1729.943,4159.9863,N,8739.4639,W,7622
260402_002849_953,1729.953,4159.9863,N,8739.4639,W,4416
260402_002849_963,1729.963,4159.9863,N,8739.4639,W,10908
260402_002849_973,1729.973,4159.9863,N,8739.4639,W,14172
260402_002849_983,1729.983,4159.9863,N,8739.4639,W,14192
260402_002849_993,1729.993,4159.9863,N,8739.4639,W,14228
260402_002850_000,1730.000,4159.9858,N,8739.4629,W,14184
260402_002850_015,1730.015,4159.9858,N,8739.4629,W,4490
260402_002850_025,1730.025,4159.9858,N,8739.4629,W,14179
260402_002850_035,1730.035,4159.9858,N,8739.4629,W,14229
260402_002850_045,1730.045,4159.9858,N,8739.4629,W,14197
260402_002850_055,1730.055,4159.9858,N,8739.4629,W,14195
260402_002850_065,1730.065,4159.9858,N,8739.4629,W,13875
260402_002850_075,1730.075,4159.9858,N,8739.4629,W,4373
260402_002850_089,1730.089,4159.9858,N,8739.4629,W,9827
260402_002850_099,1730.099,4159.9858,N,8739.4629,W,14175
260402_002850_109,1730.109,4159.9858,N,8739.4629,W,14217
260402_002850_119,1730.119,4159.9858,N,8739.4629,W,14197
260402_002850_129,1730.129,4159.9858,N,8739.4629,W,14300
260402_002850_139,1730.139,4159.9858,N,8739.4629,W,4414
