timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260407_220615_000,79575.000,4159.9824,N,8739.4375,W,514
260407_220615_430,79575.430,4159.9824,N,8739.4375,W,516
260407_220615_529,79575.531,4159.9824,N,8739.4375,W,516
260407_220615_629,79575.633,4159.9824,N,8739.4375,W,516
260407_220615_729,79575.727,4159.9824,N,8739.4375,W,516
260407_220615_829,79575.828,4159.9824,N,8739.4375,W,515
260407_220615_929,79575.930,4159.9824,N,8739.4375,W,516
260407_220616_000,79576.000,4159.9824,N,8739.4395,W,515
260407_220616_100,79576.102,4159.9824,N,8739.4395,W,515
260407_220616_200,79576.203,4159.9824,N,8739.4395,W,515
260407_220616_300,79576.297,4159.9824,N,8739.4395,W,515
260407_220616_400,79576.398,4159.9824,N,8739.4395,W,516
260407_220616_500,79576.500,4159.9824,N,8739.4395,W,515
260407_220616_600,79576.602,4159.9824,N,8739.4395,W,515
260407_220616_700,79576.703,4159.9824,N,8739.4395,W,515
260407_220616_800,79576.797,4159.9824,N,8739.4395,W,515
260407_220616_900,79576.898,4159.9824,N,8739.4395,W,515
260407_220617_000,79577.000,4159.9824,N,8739.4395,W,515
260407_220617_100,79577.102,4159.9824,N,8739.4395,W,516
260407_220617_200,79577.203,4159.9824,N,8739.4395,W,515
260407_220617_300,79577.297,4159.9824,N,8739.4395,W,515
260407_220617_400,79577.398,4159.9824,N,8739.4395,W,515
260407_220617_500,79577.500,4159.9824,N,8739.4395,W,514
260407_220617_600,79577.602,4159.9824,N,8739.4395,W,515
260407_220617_700,79577.703,4159.9824,N,8739.4395,W,515
260407_220617_800,79577.797,4159.9824,N,8739.4395,W,515
260407_220617_900,79577.898,4159.9824,N,8739.4395,W,515
260407_220618_000,79578.000,4159.9824,N,8739.4375,W,515
260407_220618_100,79578.102,4159.9824,N,8739.4375,W,516
260407_220618_200,79578.203,4159.9824,N,8739.4375,W,515
260407_220618_300,79578.297,4159.9824,N,8739.4375,W,515
260407_220618_400,79578.398,4159.9824,N,8739.4375,W,516
260407_220618_500,79578.500,4159.9824,N,8739.4375,W,516
260407_220618_600,79578.602,4159.9824,N,8739.4375,W,515
260407_220618_700,79578.703,4159.9824,N,8739.4375,W,515
260407_220618_800,79578.797,4159.9824,N,8739.4375,W,516
260407_220618_900,79578.898,4159.9824,N,8739.4375,W,515
260407_220619_000,79579.000,4159.9824,N,8739.4365,W,516
260407_220619_100,79579.102,4159.9824,N,8739.4365,W,516
260407_220619_200,79579.203,4159.9824,N,8739.4365,W,517
260407_220619_300,79579.297,4159.9824,N,8739.4365,W,516
260407_220619_400,79579.398,4159.9824,N,8739.4365,W,516
260407_220619_500,79579.500,4159.9824,N,8739.4365,W,516
260407_220619_600,79579.602,4159.9824,N,8739.4365,W,517
260407_220619_700,79579.703,4159.9824,N,8739.4365,W,517
260407_220619_800,79579.797,4159.9824,N,8739.4365,W,517
260407_220619_900,79579.898,4159.9824,N,8739.4365,W,517
260407_220620_000,79580.000,4159.9824,N,8739.4375,W,517
260407_220620_100,79580.102,4159.9824,N,8739.4375,W,517
260407_220620_200,79580.203,4159.9824,N,8739.4375,W,517
260407_220620_300,79580.297,4159.9824,N,8739.4375,W,517
260407_220620_400,79580.398,4159.9824,N,8739.4375,W,517
260407_220620_500,79580.500,4159.9824,N,8739.4375,W,517
260407_220620_600,79580.602,4159.9824,N,8739.4375,W,517
260407_220620_700,79580.703,4159.9824,N,8739.4375,W,517
260407_220620_800,79580.797,4159.9824,N,8739.4375,W,517
260407_220620_900,79580.898,4159.9824,N,8739.4375,W,517
260407_220621_000,79581.000,4159.9824,N,8739.4385,W,518
260407_220621_100,79581.102,4159.9824,N,8739.4385,W,517
260407_220621_200,79581.203,4159.9824,N,8739.4385,W,518
260407_220621_300,79581.297,4159.9824,N,8739.4385,W,518
260407_220621_400,79581.398,4159.9824,N,8739.4385,W,518
260407_220621_500,79581.500,4159.9824,N,8739.4385,W,518
260407_220621_600,79581.602,4159.9824,N,8739.4385,W,517
260407_220621_700,79581.703,4159.9824,N,8739.4385,W,517
260407_220621_800,79581.797,4159.9824,N,8739.4385,W,518
260407_220621_900,79581.898,4159.9824,N,8739.4385,W,517
260407_220622_000,79582.000,4159.9824,N,8739.4395,W,517
260407_220622_100,79582.102,4159.9824,N,8739.4395,W,517
260407_220622_200,79582.203,4159.9824,N,8739.4395,W,517
260407_220622_300,79582.297,4159.9824,N,8739.4395,W,517
260407_220622_400,79582.398,4159.9824,N,8739.4395,W,517
260407_220622_500,79582.500,4159.9824,N,8739.4395,W,517
260407_220622_600,79582.602,4159.9824,N,8739.4395,W,517
260407_220622_700,79582.703,4159.9824,N,8739.4395,W,517
260407_220622_800,79582.797,4159.9824,N,8739.4395,W,516
260407_220622_900,79582.898,4159.9824,N,8739.4395,W,516
260407_220623_000,79583.000,4159.9824,N,8739.4395,W,517
260407_220623_100,79583.102,4159.9824,N,8739.4395,W,516
260407_220623_200,79583.203,4159.9824,N,8739.4395,W,516
260407_220623_300,79583.297,4159.9824,N,8739.4395,W,516
260407_220623_400,79583.398,4159.9824,N,8739.4395,W,515
260407_220623_500,79583.500,4159.9824,N,8739.4395,W,515
260407_220623_600,79583.602,4159.9824,N,8739.4395,W,515
260407_220623_700,79583.703,4159.9824,N,8739.4395,W,515
260407_220623_800,79583.797,4159.9824,N,8739.4395,W,515
260407_220623_900,79583.898,4159.9824,N,8739.4395,W,515
260407_220624_000,79584.000,4159.9819,N,8739.4404,W,515
260407_220624_100,79584.102,4159.9819,N,8739.4404,W,515
260407_220624_200,79584.203,4159.9819,N,8739.4404,W,515
260407_220624_300,79584.297,4159.9819,N,8739.4404,W,515
260407_220624_400,79584.398,4159.9819,N,8739.4404,W,515
260407_220624_500,79584.500,4159.9819,N,8739.4404,W,515
260407_220624_600,79584.602,4159.9819,N,8739.4404,W,515
260407_220624_700,79584.703,4159.9819,N,8739.4404,W,514
260407_220624_800,79584.797,4159.9819,N,8739.4404,W,515
260407_220624_900,79584.898,4159.9819,N,8739.4404,W,515
260407_220625_000,79585.000,4159.9819,N,8739.4414,W,514
260407_220625_100,79585.102,4159.9819,N,8739.4414,W,515
260407_220625_200,79585.203,4159.9819,N,8739.4414,W,515
260407_220625_300,79585.297,4159.9819,N,8739.4414,W,515
260407_220625_400,79585.398,4159.9819,N,8739.4414,W,515
260407_220625_500,79585.500,4159.9819,N,8739.4414,W,515
260407_220625_600,79585.602,4159.9819,N,8739.4414,W,515
260407_220625_700,79585.703,4159.9819,N,8739.4414,W,515
260407_220625_800,79585.797,4159.9819,N,8739.4414,W,515
260407_220625_900,79585.898,4159.9819,N,8739.4414,W,515
260407_220626_000,79586.000,4159.9819,N,8739.4414,W,516
260407_220626_100,79586.102,4159.9819,N,8739.4414,W,516
260407_220626_200,79586.203,4159.9819,N,8739.4414,W,515
260407_220626_300,79586.297,4159.9819,N,8739.4414,W,515
260407_220626_400,79586.398,4159.9819,N,8739.4414,W,516
260407_220626_500,79586.500,4159.9819,N,8739.4414,W,516
260407_220626_600,79586.602,4159.9819,N,8739.4414,W,516
260407_220626_700,79586.703,4159.9819,N,8739.4414,W,516
260407_220626_800,79586.797,4159.9819,N,8739.4414,W,516
260407_220626_900,79586.898,4159.9819,N,8739.4414,W,517
260407_220627_000,79587.000,4159.9814,N,8739.4414,W,517
260407_220627_100,79587.102,4159.9814,N,8739.4414,W,516
260407_220627_200,79587.203,4159.9814,N,8739.4414,W,517
260407_220627_300,79587.297,4159.9814,N,8739.4414,W,517
260407_220627_400,79587.398,4159.9814,N,8739.4414,W,518
260407_220627_500,79587.500,4159.9814,N,8739.4414,W,517
260407_220627_600,79587.602,4159.9814,N,8739.4414,W,517
260407_220627_700,79587.703,4159.9814,N,8739.4414,W,518
260407_220627_800,79587.797,4159.9814,N,8739.4414,W,517
260407_220627_900,79587.898,4159.9814,N,8739.4414,W,517
260407_220628_000,79588.000,4159.9814,N,8739.4414,W,518
260407_220628_100,79588.102,4159.9814,N,8739.4414,W,517
260407_220628_200,79588.203,4159.9814,N,8739.4414,W,518
260407_220628_300,79588.297,4159.9814,N,8739.4414,W,518
260407_220628_400,79588.398,4159.9814,N,8739.4414,W,518
260407_220628_500,79588.500,4159.9814,N,8739.4414,W,518
260407_220628_600,79588.602,4159.9814,N,8739.4414,W,518
260407_220628_700,79588.703,4159.9814,N,8739.4414,W,518
260407_220628_800,79588.797,4159.9814,N,8739.4414,W,518
260407_220628_900,79588.898,4159.9814,N,8739.4414,W,518
260407_220629_000,79589.000,4159.9814,N,8739.4414,W,518
260407_220629_100,79589.102,4159.9814,N,8739.4414,W,518
260407_220629_200,79589.203,4159.9814,N,8739.4414,W,518
260407_220629_300,79589.297,4159.9814,N,8739.4414,W,517
260407_220629_400,79589.398,4159.9814,N,8739.4414,W,517
260407_220629_500,79589.500,4159.9814,N,8739.4414,W,518
260407_220629_600,79589.602,4159.9814,N,8739.4414,W,518
260407_220629_700,79589.703,4159.9814,N,8739.4414,W,517
260407_220629_800,79589.797,4159.9814,N,8739.4414,W,517
260407_220629_900,79589.898,4159.9814,N,8739.4414,W,517
260407_220630_000,79590.000,4159.9814,N,8739.4414,W,517
260407_220630_100,79590.102,4159.9814,N,8739.4414,W,517
260407_220630_200,79590.203,4159.9814,N,8739.4414,W,517
260407_220630_300,79590.297,4159.9814,N,8739.4414,W,517
260407_220630_400,79590.398,4159.9814,N,8739.4414,W,516
260407_220630_500,79590.500,4159.9814,N,8739.4414,W,516
260407_220630_600,79590.602,4159.9814,N,8739.4414,W,517
260407_220630_700,79590.703,4159.9814,N,8739.4414,W,516
260407_220630_800,79590.797,4159.9814,N,8739.4414,W,516
260407_220630_900,79590.898,4159.9814,N,8739.4414,W,515
260407_220631_000,79591.000,4159.9814,N,8739.4424,W,516
260407_220631_100,79591.102,4159.9814,N,8739.4424,W,515
260407_220631_200,79591.203,4159.9814,N,8739.4424,W,516
260407_220631_300,79591.297,4159.9814,N,8739.4424,W,515
260407_220631_400,79591.398,4159.9814,N,8739.4424,W,515
260407_220631_500,79591.500,4159.9814,N,8739.4424,W,515
260407_220631_600,79591.602,4159.9814,N,8739.4424,W,516
260407_220631_700,79591.703,4159.9814,N,8739.4424,W,515
260407_220631_800,79591.797,4159.9814,N,8739.4424,W,515
260407_220632_000,79592.000,4159.9814,N,8739.4424,W,515
260407_220632_100,79592.102,4159.9814,N,8739.4424,W,515
260407_220632_200,79592.203,4159.9814,N,8739.4424,W,515
260407_220632_300,79592.297,4159.9814,N,8739.4424,W,515
260407_220632_400,79592.398,4159.9814,N,8739.4424,W,515
260407_220632_500,79592.500,4159.9814,N,8739.4424,W,515
260407_220632_600,79592.602,4159.9814,N,8739.4424,W,515
260407_220632_700,79592.703,4159.9814,N,8739.4424,W,514
260407_220632_800,79592.797,4159.9814,N,8739.4424,W,514
260407_220632_900,79592.898,4159.9814,N,8739.4424,W,514
260407_220633_000,79593.000,4159.9810,N,8739.4424,W,514
260407_220633_100,79593.102,4159.9810,N,8739.4424,W,515
260407_220633_200,79593.203,4159.9810,N,8739.4424,W,515
260407_220633_300,79593.297,4159.9810,N,8739.4424,W,514
260407_220633_400,79593.398,4159.9810,N,8739.4424,W,515
260407_220633_500,79593.500,4159.9810,N,8739.4424,W,515
260407_220633_600,79593.602,4159.9810,N,8739.4424,W,516
260407_220633_700,79593.703,4159.9810,N,8739.4424,W,515
260407_220633_800,79593.797,4159.9810,N,8739.4424,W,515
260407_220633_900,79593.898,4159.9810,N,8739.4424,W,515
260407_220634_000,79594.000,4159.9810,N,8739.4424,W,516
260407_220634_100,79594.102,4159.9810,N,8739.4424,W,515
260407_220634_200,79594.203,4159.9810,N,8739.4424,W,515
260407_220634_300,79594.297,4159.9810,N,8739.4424,W,516
260407_220634_400,79594.398,4159.9810,N,8739.4424,W,517
260407_220634_500,79594.500,4159.9810,N,8739.4424,W,516
260407_220634_600,79594.602,4159.9810,N,8739.4424,W,516
260407_220634_700,79594.703,4159.9810,N,8739.4424,W,517
260407_220634_800,79594.797,4159.9810,N,8739.4424,W,517
260407_220634_900,79594.898,4159.9810,N,8739.4424,W,517
260407_220635_000,79595.000,4159.9810,N,8739.4414,W,517
260407_220635_100,79595.102,4159.9810,N,8739.4414,W,517
260407_220635_200,79595.203,4159.9810,N,8739.4414,W,517
260407_220635_300,79595.297,4159.9810,N,8739.4414,W,517
260407_220635_400,79595.398,4159.9810,N,8739.4414,W,517
260407_220635_500,79595.500,4159.9810,N,8739.4414,W,517
260407_220635_600,79595.602,4159.9810,N,8739.4414,W,517
260407_220635_700,79595.703,4159.9810,N,8739.4414,W,518
260407_220635_800,79595.797,4159.9810,N,8739.4414,W,517
260407_220635_900,79595.898,4159.9810,N,8739.4414,W,517
260407_220636_000,79596.000,4159.9810,N,8739.4404,W,518
260407_220636_100,79596.102,4159.9810,N,8739.4404,W,517
260407_220636_200,79596.203,4159.9810,N,8739.4404,W,517
260407_220636_300,79596.297,4159.9810,N,8739.4404,W,518
260407_220636_400,79596.398,4159.9810,N,8739.4404,W,518
260407_220636_500,79596.500,4159.9810,N,8739.4404,W,518
260407_220636_600,79596.602,4159.9810,N,8739.4404,W,517
260407_220636_700,79596.703,4159.9810,N,8739.4404,W,518
260407_220636_800,79596.797,4159.9810,N,8739.4404,W,518
260407_220636_900,79596.898,4159.9810,N,8739.4404,W,518
260407_220637_000,79597.000,4159.9810,N,8739.4395,W,517
260407_220637_100,79597.102,4159.9810,N,8739.4395,W,518
260407_220637_200,79597.203,4159.9810,N,8739.4395,W,517
260407_220637_300,79597.297,4159.9810,N,8739.4395,W,517
260407_220637_400,79597.398,4159.9810,N,8739.4395,W,517
