timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260407_214044_000,78044.000,4159.9736,N,8739.4355,W,515
260407_214044_431,78044.430,4159.9736,N,8739.4355,W,516
260407_214044_530,78044.531,4159.9736,N,8739.4355,W,515
260407_214044_630,78044.633,4159.9736,N,8739.4355,W,515
260407_214044_730,78044.727,4159.9736,N,8739.4355,W,516
260407_214044_830,78044.828,4159.9736,N,8739.4355,W,516
260407_214044_930,78044.930,4159.9736,N,8739.4355,W,515
260407_214045_030,78045.031,4159.9736,N,8739.4355,W,515
260407_214045_130,78045.133,4159.9736,N,8739.4355,W,516
260407_214045_230,78045.227,4159.9736,N,8739.4355,W,515
260407_214045_330,78045.328,4159.9736,N,8739.4355,W,516
260407_214045_430,78045.430,4159.9736,N,8739.4355,W,516
260407_214045_530,78045.531,4159.9736,N,8739.4355,W,515
260407_214045_630,78045.633,4159.9736,N,8739.4355,W,516
260407_214045_730,78045.727,4159.9736,N,8739.4355,W,515
260407_214045_830,78045.828,4159.9736,N,8739.4355,W,515
260407_214046_000,78046.000,4159.9727,N,8739.4346,W,515
260407_214046_100,78046.102,4159.9727,N,8739.4346,W,515
260407_214046_200,78046.203,4159.9727,N,8739.4346,W,516
260407_214046_300,78046.297,4159.9727,N,8739.4346,W,516
260407_214046_400,78046.398,4159.9727,N,8739.4346,W,516
260407_214046_500,78046.500,4159.9727,N,8739.4346,W,516
260407_214046_600,78046.602,4159.9727,N,8739.4346,W,515
260407_214046_700,78046.703,4159.9727,N,8739.4346,W,516
260407_214046_800,78046.797,4159.9727,N,8739.4346,W,515
260407_214046_900,78046.898,4159.9727,N,8739.4346,W,516
260407_214047_000,78047.000,4159.9722,N,8739.4336,W,516
260407_214047_100,78047.102,4159.9722,N,8739.4336,W,516
260407_214047_200,78047.203,4159.9722,N,8739.4336,W,516
260407_214047_300,78047.297,4159.9722,N,8739.4336,W,516
260407_214047_400,78047.398,4159.9722,N,8739.4336,W,516
260407_214047_500,78047.500,4159.9722,N,8739.4336,W,516
260407_214047_600,78047.602,4159.9722,N,8739.4336,W,516
260407_214047_700,78047.703,4159.9722,N,8739.4336,W,515
260407_214047_800,78047.797,4159.9722,N,8739.4336,W,515
260407_214047_900,78047.898,4159.9722,N,8739.4336,W,516
260407_214048_000,78048.000,4159.9722,N,8739.4336,W,515
260407_214048_100,78048.102,4159.9722,N,8739.4336,W,515
260407_214048_200,78048.203,4159.9722,N,8739.4336,W,516
260407_214048_300,78048.297,4159.9722,N,8739.4336,W,516
260407_214048_400,78048.398,4159.9722,N,8739.4336,W,516
260407_214048_500,78048.500,4159.9722,N,8739.4336,W,515
260407_214048_600,78048.602,4159.9722,N,8739.4336,W,516
260407_214048_700,78048.703,4159.9722,N,8739.4336,W,516
260407_214048_800,78048.797,4159.9722,N,8739.4336,W,515
260407_214048_900,78048.898,4159.9722,N,8739.4336,W,515
260407_214049_000,78049.000,4159.9717,N,8739.4336,W,515
260407_214049_100,78049.102,4159.9717,N,8739.4336,W,516
260407_214049_200,78049.203,4159.9717,N,8739.4336,W,516
260407_214049_300,78049.297,4159.9717,N,8739.4336,W,516
260407_214049_400,78049.398,4159.9717,N,8739.4336,W,516
260407_214049_500,78049.500,4159.9717,N,8739.4336,W,516
260407_214049_600,78049.602,4159.9717,N,8739.4336,W,516
260407_214049_700,78049.703,4159.9717,N,8739.4336,W,516
260407_214049_800,78049.797,4159.9717,N,8739.4336,W,515
260407_214049_900,78049.898,4159.9717,N,8739.4336,W,516
260407_214050_000,78050.000,4159.9717,N,8739.4336,W,515
260407_214050_100,78050.102,4159.9717,N,8739.4336,W,517
260407_214050_200,78050.203,4159.9717,N,8739.4336,W,516
260407_214050_300,78050.297,4159.9717,N,8739.4336,W,516
260407_214050_400,78050.398,4159.9717,N,8739.4336,W,516
260407_214050_500,78050.500,4159.9717,N,8739.4336,W,516
260407_214050_600,78050.602,4159.9717,N,8739.4336,W,516
260407_214050_700,78050.703,4159.9717,N,8739.4336,W,515
260407_214050_800,78050.797,4159.9717,N,8739.4336,W,516
260407_214050_900,78050.898,4159.9717,N,8739.4336,W,516
260407_214051_000,78051.000,4159.9712,N,8739.4336,W,515
260407_214051_100,78051.102,4159.9712,N,8739.4336,W,515
260407_214051_200,78051.203,4159.9712,N,8739.4336,W,516
260407_214051_300,78051.297,4159.9712,N,8739.4336,W,516
260407_214051_400,78051.398,4159.9712,N,8739.4336,W,516
260407_214051_500,78051.500,4159.9712,N,8739.4336,W,515
260407_214051_600,78051.602,4159.9712,N,8739.4336,W,515
260407_214051_700,78051.703,4159.9712,N,8739.4336,W,516
260407_214051_800,78051.797,4159.9712,N,8739.4336,W,516
260407_214051_900,78051.898,4159.9712,N,8739.4336,W,516
260407_214052_000,78052.000,4159.9712,N,8739.4336,W,516
260407_214052_100,78052.102,4159.9712,N,8739.4336,W,515
260407_214052_200,78052.203,4159.9712,N,8739.4336,W,516
260407_214052_300,78052.297,4159.9712,N,8739.4336,W,516
260407_214052_400,78052.398,4159.9712,N,8739.4336,W,515
260407_214052_500,78052.500,4159.9712,N,8739.4336,W,516
260407_214052_600,78052.602,4159.9712,N,8739.4336,W,517
260407_214052_700,78052.703,4159.9712,N,8739.4336,W,516
260407_214052_800,78052.797,4159.9712,N,8739.4336,W,516
260407_214052_900,78052.898,4159.9712,N,8739.4336,W,516
260407_214053_000,78053.000,4159.9707,N,8739.4326,W,516
260407_214053_100,78053.102,4159.9707,N,8739.4326,W,516
260407_214053_200,78053.203,4159.9707,N,8739.4326,W,517
260407_214053_300,78053.297,4159.9707,N,8739.4326,W,516
260407_214053_400,78053.398,4159.9707,N,8739.4326,W,516
260407_214053_500,78053.500,4159.9707,N,8739.4326,W,517
260407_214053_600,78053.602,4159.9707,N,8739.4326,W,516
260407_214053_700,78053.703,4159.9707,N,8739.4326,W,516
260407_214053_800,78053.797,4159.9707,N,8739.4326,W,515
260407_214053_900,78053.898,4159.9707,N,8739.4326,W,516
260407_214054_000,78054.000,4159.9707,N,8739.4316,W,516
260407_214054_100,78054.102,4159.9707,N,8739.4316,W,516
260407_214054_200,78054.203,4159.9707,N,8739.4316,W,516
260407_214054_300,78054.297,4159.9707,N,8739.4316,W,516
260407_214054_400,78054.398,4159.9707,N,8739.4316,W,516
260407_214054_500,78054.500,4159.9707,N,8739.4316,W,515
260407_214054_600,78054.602,4159.9707,N,8739.4316,W,516
260407_214054_700,78054.703,4159.9707,N,8739.4316,W,515
260407_214054_800,78054.797,4159.9707,N,8739.4316,W,515
260407_214054_900,78054.898,4159.9707,N,8739.4316,W,516
260407_214055_000,78055.000,4159.9707,N,8739.4316,W,516
260407_214055_100,78055.102,4159.9707,N,8739.4316,W,516
260407_214055_200,78055.203,4159.9707,N,8739.4316,W,515
260407_214055_300,78055.297,4159.9707,N,8739.4316,W,516
260407_214055_400,78055.398,4159.9707,N,8739.4316,W,516
260407_214055_500,78055.500,4159.9707,N,8739.4316,W,516
260407_214055_600,78055.602,4159.9707,N,8739.4316,W,515
260407_214055_700,78055.703,4159.9707,N,8739.4316,W,515
260407_214055_800,78055.797,4159.9707,N,8739.4316,W,515
260407_214055_900,78055.898,4159.9707,N,8739.4316,W,516
260407_214056_000,78056.000,4159.9707,N,8739.4316,W,516
260407_214056_100,78056.102,4159.9707,N,8739.4316,W,516
260407_214056_200,78056.203,4159.9707,N,8739.4316,W,516
260407_214056_300,78056.297,4159.9707,N,8739.4316,W,516
260407_214056_400,78056.398,4159.9707,N,8739.4316,W,515
260407_214056_500,78056.500,4159.9707,N,8739.4316,W,515
260407_214056_600,78056.602,4159.9707,N,8739.4316,W,515
260407_214056_700,78056.703,4159.9707,N,8739.4316,W,515
260407_214056_800,78056.797,4159.9707,N,8739.4316,W,515
260407_214056_900,78056.898,4159.9707,N,8739.4316,W,516
260407_214057_000,78057.000,4159.9707,N,8739.4316,W,515
260407_214057_100,78057.102,4159.9707,N,8739.4316,W,515
260407_214057_200,78057.203,4159.9707,N,8739.4316,W,516
260407_214057_300,78057.297,4159.9707,N,8739.4316,W,516
260407_214057_400,78057.398,4159.9707,N,8739.4316,W,515
260407_214057_500,78057.500,4159.9707,N,8739.4316,W,516
260407_214057_600,78057.602,4159.9707,N,8739.4316,W,516
260407_214057_700,78057.703,4159.9707,N,8739.4316,W,516
260407_214057_800,78057.797,4159.9707,N,8739.4316,W,515
260407_214057_900,78057.898,4159.9707,N,8739.4316,W,515
260407_214058_000,78058.000,4159.9707,N,8739.4316,W,515
260407_214058_100,78058.102,4159.9707,N,8739.4316,W,517
260407_214058_200,78058.203,4159.9707,N,8739.4316,W,516
260407_214058_300,78058.297,4159.9707,N,8739.4316,W,515
260407_214058_400,78058.398,4159.9707,N,8739.4316,W,516
260407_214058_500,78058.500,4159.9707,N,8739.4316,W,516
260407_214058_600,78058.602,4159.9707,N,8739.4316,W,515
260407_214058_700,78058.703,4159.9707,N,8739.4316,W,517
260407_214058_800,78058.797,4159.9707,N,8739.4316,W,515
260407_214058_900,78058.898,4159.9707,N,8739.4316,W,515
260407_214059_000,78059.000,4159.9707,N,8739.4307,W,516
260407_214059_100,78059.102,4159.9707,N,8739.4307,W,516
260407_214059_200,78059.203,4159.9707,N,8739.4307,W,516
260407_214059_300,78059.297,4159.9707,N,8739.4307,W,516
260407_214059_400,78059.398,4159.9707,N,8739.4307,W,516
260407_214059_500,78059.500,4159.9707,N,8739.4307,W,516
260407_214059_600,78059.602,4159.9707,N,8739.4307,W,516
260407_214059_700,78059.703,4159.9707,N,8739.4307,W,516
260407_214059_800,78059.797,4159.9707,N,8739.4307,W,516
260407_214059_900,78059.898,4159.9707,N,8739.4307,W,517
260407_214100_000,78060.000,4159.9707,N,8739.4307,W,516
260407_214100_100,78060.102,4159.9707,N,8739.4307,W,515
260407_214100_200,78060.203,4159.9707,N,8739.4307,W,516
260407_214100_300,78060.297,4159.9707,N,8739.4307,W,516
260407_214100_400,78060.398,4159.9707,N,8739.4307,W,516
260407_214100_500,78060.500,4159.9707,N,8739.4307,W,515
260407_214100_600,78060.602,4159.9707,N,8739.4307,W,515
260407_214100_700,78060.703,4159.9707,N,8739.4307,W,516
