timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260330_201540_000,72940.000,4159.9746,N,8739.3770,W,543
260330_201540_430,72940.430,4159.9746,N,8739.3770,W,497
260330_201540_529,72940.531,4159.9746,N,8739.3770,W,458
260330_201540_629,72940.633,4159.9746,N,8739.3770,W,427
260330_201540_729,72940.727,4159.9746,N,8739.3770,W,401
260330_201540_829,72940.828,4159.9746,N,8739.3770,W,381
260330_201540_929,72940.930,4159.9746,N,8739.3770,W,364
260330_201541_000,72941.000,4159.9751,N,8739.3818,W,349
260330_201541_100,72941.102,4159.9751,N,8739.3818,W,335
260330_201541_200,72941.203,4159.9751,N,8739.3818,W,324
260330_201541_300,72941.297,4159.9751,N,8739.3818,W,314
260330_201541_400,72941.398,4159.9751,N,8739.3818,W,309
260330_201541_500,72941.500,4159.9751,N,8739.3818,W,301
260330_201541_600,72941.602,4159.9751,N,8739.3818,W,293
260330_201541_700,72941.703,4159.9751,N,8739.3818,W,287
260330_201541_800,72941.797,4159.9751,N,8739.3818,W,281
260330_201541_900,72941.898,4159.9751,N,8739.3818,W,276
260330_201542_000,72942.000,4159.9751,N,8739.3838,W,272
260330_201542_100,72942.102,4159.9751,N,8739.3838,W,268
260330_201542_200,72942.203,4159.9751,N,8739.3838,W,265
260330_201542_300,72942.297,4159.9751,N,8739.3838,W,261
260330_201542_400,72942.398,4159.9751,N,8739.3838,W,258
260330_201542_500,72942.500,4159.9751,N,8739.3838,W,256
260330_201542_600,72942.602,4159.9751,N,8739.3838,W,253
260330_201542_700,72942.703,4159.9751,N,8739.3838,W,251
260330_201542_800,72942.797,4159.9751,N,8739.3838,W,249
260330_201542_900,72942.898,4159.9751,N,8739.3838,W,247
260330_201543_000,72943.000,4159.9756,N,8739.3857,W,246
260330_201543_100,72943.102,4159.9756,N,8739.3857,W,244
260330_201543_200,72943.203,4159.9756,N,8739.3857,W,243
260330_201543_300,72943.297,4159.9756,N,8739.3857,W,242
260330_201543_400,72943.398,4159.9756,N,8739.3857,W,240
260330_201543_500,72943.500,4159.9756,N,8739.3857,W,239
260330_201543_600,72943.602,4159.9756,N,8739.3857,W,238
260330_201543_700,72943.703,4159.9756,N,8739.3857,W,237
260330_201543_800,72943.797,4159.9756,N,8739.3857,W,236
260330_201543_900,72943.898,4159.9756,N,8739.3857,W,235
260330_201544_000,72944.000,4159.9756,N,8739.3867,W,234
260330_201544_100,72944.102,4159.9756,N,8739.3867,W,234
260330_201544_200,72944.203,4159.9756,N,8739.3867,W,232
260330_201544_300,72944.297,4159.9756,N,8739.3867,W,232
260330_201544_400,72944.398,4159.9756,N,8739.3867,W,232
260330_201544_500,72944.500,4159.9756,N,8739.3867,W,231
260330_201544_600,72944.602,4159.9756,N,8739.3867,W,230
260330_201544_700,72944.703,4159.9756,N,8739.3867,W,230
260330_201544_800,72944.797,4159.9756,N,8739.3867,W,229
260330_201544_900,72944.898,4159.9756,N,8739.3867,W,229
260330_201545_000,72945.000,4159.9756,N,8739.3877,W,229
260330_201545_100,72945.102,4159.9756,N,8739.3877,W,229
260330_201545_200,72945.203,4159.9756,N,8739.3877,W,228
260330_201545_300,72945.297,4159.9756,N,8739.3877,W,228
260330_201545_400,72945.398,4159.9756,N,8739.3877,W,228
260330_201545_500,72945.500,4159.9756,N,8739.3877,W,227
260330_201545_600,72945.602,4159.9756,N,8739.3877,W,226
260330_201545_700,72945.703,4159.9756,N,8739.3877,W,226
260330_201545_800,72945.797,4159.9756,N,8739.3877,W,225
260330_201545_900,72945.898,4159.9756,N,8739.3877,W,225
260330_201546_000,72946.000,4159.9751,N,8739.3867,W,225
260330_201546_100,72946.102,4159.9751,N,8739.3867,W,224
260330_201546_200,72946.203,4159.9751,N,8739.3867,W,224
260330_201546_300,72946.297,4159.9751,N,8739.3867,W,224
260330_201546_400,72946.398,4159.9751,N,8739.3867,W,224
260330_201546_500,72946.500,4159.9751,N,8739.3867,W,224
260330_201546_600,72946.602,4159.9751,N,8739.3867,W,224
260330_201546_700,72946.703,4159.9751,N,8739.3867,W,224
260330_201546_800,72946.797,4159.9751,N,8739.3867,W,225
260330_201546_900,72946.898,4159.9751,N,8739.3867,W,226
260330_201547_000,72947.000,4159.9751,N,8739.3867,W,226
260330_201547_100,72947.102,4159.9751,N,8739.3867,W,226
260330_201547_200,72947.203,4159.9751,N,8739.3867,W,226
260330_201547_300,72947.297,4159.9751,N,8739.3867,W,226
260330_201547_400,72947.398,4159.9751,N,8739.3867,W,225
260330_201547_500,72947.500,4159.9751,N,8739.3867,W,225
