timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260409_212230_000,76950.000,4200.0161,N,8739.3662,W,894
260409_212230_432,76950.430,4200.0161,N,8739.3662,W,895
260409_212230_531,76950.531,4200.0161,N,8739.3662,W,904
260409_212230_631,76950.633,4200.0161,N,8739.3662,W,904
260409_212230_731,76950.734,4200.0161,N,8739.3662,W,891
260409_212230_831,76950.828,4200.0161,N,8739.3662,W,906
260409_212230_931,76950.930,4200.0161,N,8739.3662,W,905
260409_212231_031,76951.031,4200.0161,N,8739.3662,W,893
260409_212231_131,76951.133,4200.0161,N,8739.3662,W,894
260409_212231_231,76951.234,4200.0161,N,8739.3662,W,905
260409_212231_331,76951.328,4200.0161,N,8739.3662,W,904
260409_212231_431,76951.430,4200.0161,N,8739.3662,W,891
260409_212231_531,76951.531,4200.0161,N,8739.3662,W,902
260409_212231_631,76951.633,4200.0161,N,8739.3662,W,893
260409_212232_000,76952.000,4200.0176,N,8739.3652,W,893
260409_212232_100,76952.102,4200.0176,N,8739.3652,W,905
260409_212232_200,76952.203,4200.0176,N,8739.3652,W,902
260409_212232_300,76952.297,4200.0176,N,8739.3652,W,904
260409_212232_400,76952.398,4200.0176,N,8739.3652,W,897
260409_212232_500,76952.500,4200.0176,N,8739.3652,W,905
260409_212232_600,76952.602,4200.0176,N,8739.3652,W,904
260409_212232_700,76952.703,4200.0176,N,8739.3652,W,893
260409_212232_800,76952.797,4200.0176,N,8739.3652,W,904
260409_212232_900,76952.898,4200.0176,N,8739.3652,W,903
260409_212233_000,76953.000,4200.0176,N,8739.3652,W,905
260409_212233_100,76953.102,4200.0176,N,8739.3652,W,902
260409_212233_200,76953.203,4200.0176,N,8739.3652,W,899
260409_212233_300,76953.297,4200.0176,N,8739.3652,W,892
260409_212233_400,76953.398,4200.0176,N,8739.3652,W,892
260409_212233_500,76953.500,4200.0176,N,8739.3652,W,903
260409_212233_600,76953.602,4200.0176,N,8739.3652,W,892
260409_212233_700,76953.703,4200.0176,N,8739.3652,W,895
260409_212233_800,76953.797,4200.0176,N,8739.3652,W,901
