timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260402_010800_000,4080.000,4159.9858,N,8739.4648,W,4611
260402_010800_429,4080.429,4159.9858,N,8739.4648,W,4670
260402_010800_439,4080.439,4159.9858,N,8739.4648,W,4634
260402_010800_449,4080.449,4159.9858,N,8739.4648,W,4670
260402_010800_459,4080.459,4159.9858,N,8739.4648,W,5390
260402_010800_469,4080.469,4159.9858,N,8739.4648,W,10044
260402_010800_479,4080.479,4159.9858,N,8739.4648,W,11175
260402_010800_491,4080.491,4159.9858,N,8739.4648,W,4703
260402_010800_501,4080.501,4159.9858,N,8739.4648,W,4632
260402_010800_511,4080.511,4159.9858,N,8739.4648,W,4649
260402_010800_521,4080.521,4159.9858,N,8739.4648,W,4823
260402_010800_531,4080.531,4159.9858,N,8739.4648,W,8553
260402_010800_541,4080.541,4159.9858,N,8739.4648,W,10648
260402_010800_551,4080.551,4159.9858,N,8739.4648,W,7181
260402_010800_566,4080.566,4159.9858,N,8739.4648,W,4624
260402_010800_576,4080.576,4159.9858,N,8739.4648,W,4646
260402_010800_586,4080.586,4159.9858,N,8739.4648,W,4859
260402_010800_596,4080.596,4159.9858,N,8739.4648,W,9528
260402_010800_606,4080.606,4159.9858,N,8739.4648,W,12597
260402_010800_616,4080.616,4159.9858,N,8739.4648,W,8381
260402_010800_626,4080.626,4159.9858,N,8739.4648,W,4619
260402_010800_641,4080.641,4159.9858,N,8739.4648,W,4625
260402_010800_651,4080.651,4159.9858,N,8739.4648,W,4880
260402_010800_661,4080.661,4159.9858,N,8739.4648,W,10665
260402_010800_671,4080.671,4159.9858,N,8739.4648,W,13872
260402_010800_681,4080.681,4159.9858,N,8739.4648,W,9836
260402_010800_691,4080.691,4159.9858,N,8739.4648,W,4618
260402_010800_701,4080.701,4159.9858,N,8739.4648,W,4592
260402_010800_715,4080.715,4159.9858,N,8739.4648,W,4789
260402_010800_725,4080.725,4159.9858,N,8739.4648,W,9502
260402_010800_735,4080.735,4159.9858,N,8739.4648,W,13965
