timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260403_001010_000,610.000,4200.0039,N,8739.6064,W,6510
260403_001010_439,610.439,4200.0039,N,8739.6064,W,6480
260403_001010_449,610.449,4200.0039,N,8739.6064,W,6434
260403_001010_459,610.459,4200.0039,N,8739.6064,W,6537
260403_001010_469,610.469,4200.0039,N,8739.6064,W,6416
260403_001010_479,610.479,4200.0039,N,8739.6064,W,6705
260403_001010_489,610.489,4200.0039,N,8739.6064,W,6545
260403_001010_499,610.499,4200.0039,N,8739.6064,W,6700
260403_001010_511,610.511,4200.0039,N,8739.6064,W,6480
260403_001010_521,610.521,4200.0039,N,8739.6064,W,6497
260403_001010_531,610.531,4200.0039,N,8739.6064,W,6523
260403_001010_541,610.541,4200.0039,N,8739.6064,W,6499
260403_001010_551,610.551,4200.0039,N,8739.6064,W,6581
260403_001010_561,610.561,4200.0039,N,8739.6064,W,6533
260403_001010_571,610.571,4200.0039,N,8739.6064,W,6474
260403_001010_581,610.581,4200.0039,N,8739.6064,W,6696
260403_001010_596,610.596,4200.0039,N,8739.6064,W,6626
260403_001010_606,610.606,4200.0039,N,8739.6064,W,6559
260403_001010_616,610.616,4200.0039,N,8739.6064,W,6484
260403_001010_626,610.626,4200.0039,N,8739.6064,W,6429
260403_001010_636,610.636,4200.0039,N,8739.6064,W,6417
260403_001010_646,610.646,4200.0039,N,8739.6064,W,6498
260403_001010_656,610.656,4200.0039,N,8739.6064,W,6671
260403_001010_666,610.666,4200.0039,N,8739.6064,W,6617
260403_001010_681,610.681,4200.0039,N,8739.6064,W,6644
260403_001010_691,610.691,4200.0039,N,8739.6064,W,6416
260403_001010_701,610.701,4200.0039,N,8739.6064,W,6485
260403_001010_711,610.711,4200.0039,N,8739.6064,W,6575
260403_001010_721,610.721,4200.0039,N,8739.6064,W,6497
260403_001010_731,610.731,4200.0039,N,8739.6064,W,6697
260403_001010_741,610.741,4200.0039,N,8739.6064,W,6526
260403_001010_751,610.751,4200.0039,N,8739.6064,W,6488
260403_001010_765,610.765,4200.0039,N,8739.6064,W,6431
260403_001010_775,610.775,4200.0039,N,8739.6064,W,6412
260403_001010_785,610.785,4200.0039,N,8739.6064,W,6530
260403_001010_795,610.795,4200.0039,N,8739.6064,W,6688
260403_001010_805,610.805,4200.0039,N,8739.6064,W,6688
260403_001010_815,610.815,4200.0039,N,8739.6064,W,6475
260403_001010_825,610.825,4200.0039,N,8739.6064,W,6545
260403_001010_835,610.835,4200.0039,N,8739.6064,W,6533
260403_001010_849,610.849,4200.0039,N,8739.6064,W,6429
260403_001010_859,610.859,4200.0039,N,8739.6064,W,6602
260403_001010_869,610.869,4200.0039,N,8739.6064,W,6696
260403_001010_879,610.879,4200.0039,N,8739.6064,W,6666
260403_001010_889,610.889,4200.0039,N,8739.6064,W,6709
260403_001010_899,610.899,4200.0039,N,8739.6064,W,6625
260403_001010_909,610.909,4200.0039,N,8739.6064,W,6527
260403_001010_919,610.919,4200.0039,N,8739.6064,W,6410
260403_001010_934,610.934,4200.0039,N,8739.6064,W,6619
260403_001010_944,610.944,4200.0039,N,8739.6064,W,6704
260403_001010_954,610.954,4200.0039,N,8739.6064,W,6506
260403_001010_964,610.964,4200.0039,N,8739.6064,W,6503
260403_001010_974,610.974,4200.0039,N,8739.6064,W,6711
260403_001010_984,610.984,4200.0039,N,8739.6064,W,6653
260403_001011_000,611.000,4200.0034,N,8739.6055,W,6431
260403_001011_010,611.010,4200.0034,N,8739.6055,W,6698
260403_001011_025,611.025,4200.0034,N,8739.6055,W,6681
260403_001011_035,611.035,4200.0034,N,8739.6055,W,6493
260403_001011_045,611.045,4200.0034,N,8739.6055,W,6711
260403_001011_055,611.055,4200.0034,N,8739.6055,W,6681
260403_001011_065,611.065,4200.0034,N,8739.6055,W,6413
260403_001011_075,611.075,4200.0034,N,8739.6055,W,6462
260403_001011_085,611.085,4200.0034,N,8739.6055,W,6432
260403_001011_095,611.095,4200.0034,N,8739.6055,W,6707
260403_001011_108,611.108,4200.0034,N,8739.6055,W,6397
260403_001011_118,611.118,4200.0034,N,8739.6055,W,6689
260403_001011_128,611.128,4200.0034,N,8739.6055,W,6637
260403_001011_138,611.138,4200.0034,N,8739.6055,W,6592
260403_001011_148,611.148,4200.0034,N,8739.6055,W,6428
260403_001011_158,611.158,4200.0034,N,8739.6055,W,6593
260403_001011_168,611.168,4200.0034,N,8739.6055,W,6673
260403_001011_178,611.178,4200.0034,N,8739.6055,W,6510
260403_001011_193,611.193,4200.0034,N,8739.6055,W,6400
260403_001011_203,611.203,4200.0034,N,8739.6055,W,6402
260403_001011_213,611.213,4200.0034,N,8739.6055,W,6543
260403_001011_223,611.223,4200.0034,N,8739.6055,W,6696
260403_001011_233,611.233,4200.0034,N,8739.6055,W,6700
260403_001011_243,611.243,4200.0034,N,8739.6055,W,6412
260403_001011_253,611.253,4200.0034,N,8739.6055,W,6544
260403_001011_263,611.263,4200.0034,N,8739.6055,W,6438
260403_001011_278,611.278,4200.0034,N,8739.6055,W,6600
260403_001011_288,611.288,4200.0034,N,8739.6055,W,6657
260403_001011_298,611.298,4200.0034,N,8739.6055,W,6690
260403_001011_308,611.308,4200.0034,N,8739.6055,W,6482
260403_001011_318,611.318,4200.0034,N,8739.6055,W,6571
260403_001011_328,611.328,4200.0034,N,8739.6055,W,6649
260403_001011_338,611.338,4200.0034,N,8739.6055,W,6454
260403_001011_348,611.348,4200.0034,N,8739.6055,W,6560
260403_001011_363,611.363,4200.0034,N,8739.6055,W,6710
260403_001011_373,611.373,4200.0034,N,8739.6055,W,6624
260403_001011_383,611.383,4200.0034,N,8739.6055,W,6421
260403_001011_393,611.393,4200.0034,N,8739.6055,W,6478
260403_001011_403,611.403,4200.0034,N,8739.6055,W,6609
260403_001011_413,611.413,4200.0034,N,8739.6055,W,6680
260403_001011_423,611.423,4200.0034,N,8739.6055,W,6455
260403_001011_433,611.433,4200.0034,N,8739.6055,W,6641
260403_001011_448,611.448,4200.0034,N,8739.6055,W,6535
260403_001011_458,611.458,4200.0034,N,8739.6055,W,6509
260403_001011_468,611.468,4200.0034,N,8739.6055,W,6408
260403_001011_478,611.478,4200.0034,N,8739.6055,W,6601
260403_001011_488,611.488,4200.0034,N,8739.6055,W,6703
260403_001011_498,611.498,4200.0034,N,8739.6055,W,6665
260403_001011_508,611.508,4200.0034,N,8739.6055,W,6415
260403_001011_518,611.518,4200.0034,N,8739.6055,W,6526
260403_001011_533,611.533,4200.0034,N,8739.6055,W,6604
260403_001011_543,611.543,4200.0034,N,8739.6055,W,6459
260403_001011_553,611.553,4200.0034,N,8739.6055,W,6604
260403_001011_563,611.563,4200.0034,N,8739.6055,W,6406
260403_001011_573,611.573,4200.0034,N,8739.6055,W,6435
260403_001011_583,611.583,4200.0034,N,8739.6055,W,6452
260403_001011_593,611.593,4200.0034,N,8739.6055,W,6443
260403_001011_603,611.603,4200.0034,N,8739.6055,W,6466
260403_001011_618,611.618,4200.0034,N,8739.6055,W,6672
260403_001011_628,611.628,4200.0034,N,8739.6055,W,6697
260403_001011_638,611.638,4200.0034,N,8739.6055,W,6441
260403_001011_648,611.648,4200.0034,N,8739.6055,W,6438
260403_001011_658,611.658,4200.0034,N,8739.6055,W,6495
260403_001011_668,611.668,4200.0034,N,8739.6055,W,6704
260403_001011_678,611.678,4200.0034,N,8739.6055,W,6574
260403_001011_688,611.688,4200.0034,N,8739.6055,W,6453
260403_001011_701,611.701,4200.0034,N,8739.6055,W,6673
260403_001011_711,611.711,4200.0034,N,8739.6055,W,6695
260403_001011_721,611.721,4200.0034,N,8739.6055,W,6510
260403_001011_731,611.731,4200.0034,N,8739.6055,W,6522
260403_001011_741,611.741,4200.0034,N,8739.6055,W,6507
260403_001011_751,611.751,4200.0034,N,8739.6055,W,6563
260403_001011_761,611.761,4200.0034,N,8739.6055,W,6642
260403_001011_771,611.771,4200.0034,N,8739.6055,W,6679
260403_001011_788,611.788,4200.0034,N,8739.6055,W,6518
260403_001011_798,611.798,4200.0034,N,8739.6055,W,6441
260403_001011_808,611.808,4200.0034,N,8739.6055,W,6671
260403_001011_818,611.818,4200.0034,N,8739.6055,W,6699
260403_001011_828,611.828,4200.0034,N,8739.6055,W,6569
260403_001011_838,611.838,4200.0034,N,8739.6055,W,6434
260403_001011_848,611.848,4200.0034,N,8739.6055,W,6418
260403_001011_858,611.858,4200.0034,N,8739.6055,W,6564
260403_001011_873,611.873,4200.0034,N,8739.6055,W,6684
260403_001011_883,611.883,4200.0034,N,8739.6055,W,6574
260403_001011_893,611.893,4200.0034,N,8739.6055,W,6685
260403_001011_903,611.903,4200.0034,N,8739.6055,W,6662
260403_001011_913,611.913,4200.0034,N,8739.6055,W,6493
260403_001011_923,611.923,4200.0034,N,8739.6055,W,6693
260403_001011_933,611.933,4200.0034,N,8739.6055,W,6641
260403_001011_943,611.943,4200.0034,N,8739.6055,W,6669
260403_001011_958,611.958,4200.0034,N,8739.6055,W,6672
260403_001011_968,611.968,4200.0034,N,8739.6055,W,6600
260403_001011_978,611.978,4200.0034,N,8739.6055,W,6680
260403_001011_988,611.988,4200.0034,N,8739.6055,W,6540
260403_001011_998,611.998,4200.0034,N,8739.6055,W,6685
260403_001012_008,612.008,4200.0034,N,8739.6055,W,6688
260403_001012_018,612.018,4200.0034,N,8739.6055,W,6654
260403_001012_028,612.028,4200.0034,N,8739.6055,W,6634
260403_001012_043,612.043,4200.0034,N,8739.6055,W,6668
260403_001012_053,612.053,4200.0034,N,8739.6055,W,6549
260403_001012_063,612.063,4200.0034,N,8739.6055,W,6411
260403_001012_073,612.073,4200.0034,N,8739.6055,W,6591
260403_001012_083,612.083,4200.0034,N,8739.6055,W,6671
260403_001012_093,612.093,4200.0034,N,8739.6055,W,6550
260403_001012_103,612.103,4200.0034,N,8739.6055,W,6581
260403_001012_113,612.113,4200.0034,N,8739.6055,W,6512
260403_001012_128,612.128,4200.0034,N,8739.6055,W,6651
260403_001012_138,612.138,4200.0034,N,8739.6055,W,6633
260403_001012_148,612.148,4200.0034,N,8739.6055,W,6486
260403_001012_158,612.158,4200.0034,N,8739.6055,W,6435
260403_001012_168,612.168,4200.0034,N,8739.6055,W,6442
260403_001012_178,612.178,4200.0034,N,8739.6055,W,6428
260403_001012_188,612.188,4200.0034,N,8739.6055,W,6642
260403_001012_198,612.198,4200.0034,N,8739.6055,W,6690
260403_001012_212,612.212,4200.0034,N,8739.6055,W,6429
260403_001012_222,612.222,4200.0034,N,8739.6055,W,6676
260403_001012_232,612.232,4200.0034,N,8739.6055,W,6650
260403_001012_242,612.242,4200.0034,N,8739.6055,W,6433
260403_001012_252,612.252,4200.0034,N,8739.6055,W,6541
260403_001012_262,612.262,4200.0034,N,8739.6055,W,6647
260403_001012_272,612.272,4200.0034,N,8739.6055,W,6421
260403_001012_282,612.282,4200.0034,N,8739.6055,W,6535
260403_001012_297,612.297,4200.0034,N,8739.6055,W,6636
260403_001012_307,612.307,4200.0034,N,8739.6055,W,6420
260403_001012_317,612.317,4200.0034,N,8739.6055,W,6527
260403_001012_327,612.327,4200.0034,N,8739.6055,W,6415
260403_001012_337,612.337,4200.0034,N,8739.6055,W,6672
260403_001012_347,612.347,4200.0034,N,8739.6055,W,6630
260403_001012_357,612.357,4200.0034,N,8739.6055,W,6424
260403_001012_367,612.367,4200.0034,N,8739.6055,W,6684
260403_001012_379,612.379,4200.0034,N,8739.6055,W,6416
260403_001012_389,612.389,4200.0034,N,8739.6055,W,6457
260403_001012_399,612.399,4200.0034,N,8739.6055,W,6494
260403_001012_409,612.409,4200.0034,N,8739.6055,W,6414
260403_001012_419,612.419,4200.0034,N,8739.6055,W,6433
260403_001012_429,612.429,4200.0034,N,8739.6055,W,6512
260403_001012_439,612.439,4200.0034,N,8739.6055,W,6415
