passby_index,passby_time,matched_v_index,matched_v_time,time_diff,accepted
0,1022.45,5219,1022.4000000000001,0.049999999999954525,True
1,12234.56,117278,12234.6,0.040000000000873115,True
2,18930.97,184211,18931.0,0.029999999998835847,True
3,23078.12,225663,23078.1,0.020000000000436557,True
4,39454.79,389362,39454.801,0.010999999998603016,True
5,45456.01,449350,45456.0,0.010000000002037268,True
6,49012.56,484900,49012.602,0.04200000000128057,True
7,53864.97,533403,53865.0,0.029999999998835847,True
8,79034.56,572415,57768.0,21266.559999999998,True
9,572063.12,572415,57768.0,514295.12,True
