timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260407_223140_000,81100.000,4159.9844,N,8739.4102,W,515
260407_223140_430,81100.430,4159.9844,N,8739.4102,W,517
260407_223140_529,81100.531,4159.9844,N,8739.4102,W,517
260407_223140_629,81100.633,4159.9844,N,8739.4102,W,517
260407_223140_729,81100.727,4159.9844,N,8739.4102,W,518
260407_223140_829,81100.828,4159.9844,N,8739.4102,W,517
260407_223140_929,81100.930,4159.9844,N,8739.4102,W,517
260407_223141_000,81101.000,4159.9849,N,8739.4102,W,517
260407_223141_100,81101.102,4159.9849,N,8739.4102,W,517
260407_223141_200,81101.203,4159.9849,N,8739.4102,W,516
260407_223141_300,81101.297,4159.9849,N,8739.4102,W,517
260407_223141_400,81101.398,4159.9849,N,8739.4102,W,517
260407_223141_500,81101.500,4159.9849,N,8739.4102,W,517
260407_223141_600,81101.602,4159.9849,N,8739.4102,W,516
260407_223141_700,81101.703,4159.9849,N,8739.4102,W,516
260407_223141_800,81101.797,4159.9849,N,8739.4102,W,517
260407_223142_000,81102.000,4159.9849,N,8739.4111,W,516
260407_223142_100,81102.102,4159.9849,N,8739.4111,W,516
260407_223142_200,81102.203,4159.9849,N,8739.4111,W,516
260407_223142_300,81102.297,4159.9849,N,8739.4111,W,516
260407_223142_400,81102.398,4159.9849,N,8739.4111,W,516
260407_223142_500,81102.500,4159.9849,N,8739.4111,W,516
260407_223142_600,81102.602,4159.9849,N,8739.4111,W,516
260407_223142_700,81102.703,4159.9849,N,8739.4111,W,517
260407_223142_800,81102.797,4159.9849,N,8739.4111,W,516
260407_223142_900,81102.898,4159.9849,N,8739.4111,W,515
260407_223143_000,81103.000,4159.9849,N,8739.4102,W,516
260407_223143_100,81103.102,4159.9849,N,8739.4102,W,516
260407_223143_200,81103.203,4159.9849,N,8739.4102,W,515
260407_223143_300,81103.297,4159.9849,N,8739.4102,W,515
260407_223143_400,81103.398,4159.9849,N,8739.4102,W,515
260407_223143_500,81103.500,4159.9849,N,8739.4102,W,515
260407_223143_600,81103.602,4159.9849,N,8739.4102,W,515
260407_223143_700,81103.703,4159.9849,N,8739.4102,W,515
260407_223143_800,81103.797,4159.9849,N,8739.4102,W,515
260407_223143_900,81103.898,4159.9849,N,8739.4102,W,516
260407_223144_000,81104.000,4159.9849,N,8739.4102,W,515
260407_223144_100,81104.102,4159.9849,N,8739.4102,W,515
