timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260408_214010_000,78010.000,4159.9741,N,8739.4238,W,89
260408_214010_430,78010.430,4159.9741,N,8739.4238,W,79
260408_214010_529,78010.531,4159.9741,N,8739.4238,W,82
260408_214010_629,78010.633,4159.9741,N,8739.4238,W,85
260408_214010_729,78010.727,4159.9741,N,8739.4238,W,86
260408_214010_829,78010.828,4159.9741,N,8739.4238,W,87
260408_214010_929,78010.930,4159.9741,N,8739.4238,W,88
260408_214011_029,78011.031,4159.9741,N,8739.4238,W,88
260408_214011_129,78011.133,4159.9741,N,8739.4238,W,88
260408_214011_229,78011.227,4159.9741,N,8739.4238,W,88
260408_214011_329,78011.328,4159.9741,N,8739.4238,W,89
260408_214011_429,78011.430,4159.9741,N,8739.4238,W,89
260408_214011_529,78011.531,4159.9741,N,8739.4238,W,89
260408_214011_629,78011.633,4159.9741,N,8739.4238,W,89
260408_214011_729,78011.727,4159.9741,N,8739.4238,W,89
260408_214011_829,78011.828,4159.9741,N,8739.4238,W,89
260408_214012_000,78012.000,4159.9731,N,8739.4219,W,90
260408_214012_100,78012.102,4159.9731,N,8739.4219,W,90
260408_214012_200,78012.203,4159.9731,N,8739.4219,W,90
260408_214012_300,78012.297,4159.9731,N,8739.4219,W,90
260408_214012_400,78012.398,4159.9731,N,8739.4219,W,90
260408_214012_500,78012.500,4159.9731,N,8739.4219,W,90
260408_214012_600,78012.602,4159.9731,N,8739.4219,W,90
260408_214012_700,78012.703,4159.9731,N,8739.4219,W,90
260408_214012_800,78012.797,4159.9731,N,8739.4219,W,90
260408_214013_000,78013.000,4159.9722,N,8739.4209,W,91
260408_214013_100,78013.102,4159.9722,N,8739.4209,W,91
260408_214013_200,78013.203,4159.9722,N,8739.4209,W,91
260408_214013_300,78013.297,4159.9722,N,8739.4209,W,91
260408_214013_400,78013.398,4159.9722,N,8739.4209,W,91
260408_214013_500,78013.500,4159.9722,N,8739.4209,W,91
260408_214013_600,78013.602,4159.9722,N,8739.4209,W,91
260408_214013_700,78013.703,4159.9722,N,8739.4209,W,91
260408_214013_800,78013.797,4159.9722,N,8739.4209,W,91
260408_214013_900,78013.898,4159.9722,N,8739.4209,W,92
260408_214014_000,78014.000,4159.9717,N,8739.4199,W,92
260408_214014_100,78014.102,4159.9717,N,8739.4199,W,92
