timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260408_215731_000,79051.000,4159.9941,N,8739.4678,W,71
260408_215731_430,79051.430,4159.9941,N,8739.4678,W,74
260408_215731_529,79051.531,4159.9941,N,8739.4678,W,79
260408_215731_629,79051.633,4159.9941,N,8739.4678,W,81
260408_215731_729,79051.727,4159.9941,N,8739.4678,W,82
260408_215731_829,79051.828,4159.9941,N,8739.4678,W,84
260408_215731_929,79051.930,4159.9941,N,8739.4678,W,84
260408_215732_029,79052.031,4159.9941,N,8739.4678,W,83
260408_215732_129,79052.133,4159.9941,N,8739.4678,W,84
260408_215732_229,79052.227,4159.9941,N,8739.4678,W,85
260408_215732_329,79052.328,4159.9941,N,8739.4678,W,85
260408_215732_429,79052.430,4159.9941,N,8739.4678,W,86
260408_215732_529,79052.531,4159.9941,N,8739.4678,W,87
260408_215732_629,79052.633,4159.9941,N,8739.4678,W,89
260408_215732_729,79052.727,4159.9941,N,8739.4678,W,89
260408_215733_000,79053.000,4159.9941,N,8739.4668,W,84
260408_215733_100,79053.102,4159.9941,N,8739.4668,W,85
260408_215733_200,79053.203,4159.9941,N,8739.4668,W,86
260408_215733_300,79053.297,4159.9941,N,8739.4668,W,88
260408_215733_400,79053.398,4159.9941,N,8739.4668,W,86
260408_215733_500,79053.500,4159.9941,N,8739.4668,W,86
260408_215733_600,79053.602,4159.9941,N,8739.4668,W,88
260408_215733_700,79053.703,4159.9941,N,8739.4668,W,87
260408_215733_800,79053.797,4159.9941,N,8739.4668,W,87
260408_215733_900,79053.898,4159.9941,N,8739.4668,W,87
260408_215734_000,79054.000,4159.9941,N,8739.4658,W,87
260408_215734_100,79054.102,4159.9941,N,8739.4658,W,88
260408_215734_200,79054.203,4159.9941,N,8739.4658,W,88
260408_215734_300,79054.297,4159.9941,N,8739.4658,W,87
260408_215734_400,79054.398,4159.9941,N,8739.4658,W,88
260408_215734_500,79054.500,4159.9941,N,8739.4658,W,88
260408_215734_600,79054.602,4159.9941,N,8739.4658,W,88
260408_215734_700,79054.703,4159.9941,N,8739.4658,W,88
260408_215734_800,79054.797,4159.9941,N,8739.4658,W,88
260408_215734_900,79054.898,4159.9941,N,8739.4658,W,88
260408_215735_000,79055.000,4159.9941,N,8739.4658,W,88
260408_215735_100,79055.102,4159.9941,N,8739.4658,W,89
260408_215735_200,79055.203,4159.9941,N,8739.4658,W,88
260408_215735_300,79055.297,4159.9941,N,8739.4658,W,88
260408_215735_400,79055.398,4159.9941,N,8739.4658,W,88
260408_215735_500,79055.500,4159.9941,N,8739.4658,W,88
260408_215735_600,79055.602,4159.9941,N,8739.4658,W,88
260408_215735_700,79055.703,4159.9941,N,8739.4658,W,88
260408_215735_800,79055.797,4159.9941,N,8739.4658,W,88
260408_215735_900,79055.898,4159.9941,N,8739.4658,W,88
260408_215736_000,79056.000,4159.9941,N,8739.4658,W,88
260408_215736_100,79056.102,4159.9941,N,8739.4658,W,89
260408_215736_200,79056.203,4159.9941,N,8739.4658,W,88
260408_215736_300,79056.297,4159.9941,N,8739.4658,W,88
260408_215736_400,79056.398,4159.9941,N,8739.4658,W,88
260408_215736_500,79056.500,4159.9941,N,8739.4658,W,89
260408_215736_600,79056.602,4159.9941,N,8739.4658,W,89
260408_215736_700,79056.703,4159.9941,N,8739.4658,W,89
260408_215736_800,79056.797,4159.9941,N,8739.4658,W,89
260408_215736_900,79056.898,4159.9941,N,8739.4658,W,89
260408_215737_000,79057.000,4159.9937,N,8739.4678,W,89
260408_215737_100,79057.102,4159.9937,N,8739.4678,W,89
260408_215737_200,79057.203,4159.9937,N,8739.4678,W,89
260408_215737_300,79057.297,4159.9937,N,8739.4678,W,89
260408_215737_400,79057.398,4159.9937,N,8739.4678,W,89
260408_215737_500,79057.500,4159.9937,N,8739.4678,W,89
260408_215737_600,79057.602,4159.9937,N,8739.4678,W,89
260408_215737_700,79057.703,4159.9937,N,8739.4678,W,89
260408_215737_800,79057.797,4159.9937,N,8739.4678,W,89
260408_215737_900,79057.898,4159.9937,N,8739.4678,W,89
260408_215738_000,79058.000,4159.9932,N,8739.4688,W,89
260408_215738_100,79058.102,4159.9932,N,8739.4688,W,89
260408_215738_200,79058.203,4159.9932,N,8739.4688,W,90
260408_215738_300,79058.297,4159.9932,N,8739.4688,W,90
260408_215738_400,79058.398,4159.9932,N,8739.4688,W,89
260408_215738_500,79058.500,4159.9932,N,8739.4688,W,89
260408_215738_600,79058.602,4159.9932,N,8739.4688,W,89
260408_215738_700,79058.703,4159.9932,N,8739.4688,W,89
260408_215738_800,79058.797,4159.9932,N,8739.4688,W,90
260408_215738_900,79058.898,4159.9932,N,8739.4688,W,89
260408_215739_000,79059.000,4159.9932,N,8739.4707,W,89
260408_215739_100,79059.102,4159.9932,N,8739.4707,W,90
260408_215739_200,79059.203,4159.9932,N,8739.4707,W,90
260408_215739_300,79059.297,4159.9932,N,8739.4707,W,89
260408_215739_400,79059.398,4159.9932,N,8739.4707,W,89
260408_215739_500,79059.500,4159.9932,N,8739.4707,W,90
260408_215739_600,79059.602,4159.9932,N,8739.4707,W,90
260408_215739_700,79059.703,4159.9932,N,8739.4707,W,90
260408_215739_800,79059.797,4159.9932,N,8739.4707,W,90
260408_215739_900,79059.898,4159.9932,N,8739.4707,W,90
260408_215740_000,79060.000,4159.9922,N,8739.4746,W,90
260408_215740_100,79060.102,4159.9922,N,8739.4746,W,90
260408_215740_200,79060.203,4159.9922,N,8739.4746,W,90
260408_215740_300,79060.297,4159.9922,N,8739.4746,W,90
260408_215740_400,79060.398,4159.9922,N,8739.4746,W,90
260408_215740_500,79060.500,4159.9922,N,8739.4746,W,90
260408_215740_600,79060.602,4159.9922,N,8739.4746,W,90
260408_215740_700,79060.703,4159.9922,N,8739.4746,W,89
260408_215740_800,79060.797,4159.9922,N,8739.4746,W,90
260408_215740_900,79060.898,4159.9922,N,8739.4746,W,90
260408_215741_000,79061.000,4159.9912,N,8739.4805,W,90
260408_215741_099,79061.102,4159.9912,N,8739.4805,W,90
260408_215741_199,79061.195,4159.9912,N,8739.4805,W,90
260408_215741_299,79061.297,4159.9912,N,8739.4805,W,90
260408_215741_399,79061.398,4159.9912,N,8739.4805,W,90
260408_215741_499,79061.500,4159.9912,N,8739.4805,W,90
260408_215741_599,79061.602,4159.9912,N,8739.4805,W,90
260408_215741_699,79061.695,4159.9912,N,8739.4805,W,90
260408_215741_799,79061.797,4159.9912,N,8739.4805,W,90
260408_215741_899,79061.898,4159.9912,N,8739.4805,W,89
260408_215741_999,79062.000,4159.9912,N,8739.4805,W,90
260408_215742_000,79062.000,4159.9907,N,8739.4834,W,90
260408_215742_100,79062.102,4159.9907,N,8739.4834,W,90
260408_215742_200,79062.203,4159.9907,N,8739.4834,W,90
260408_215742_300,79062.297,4159.9907,N,8739.4834,W,90
260408_215742_400,79062.398,4159.9907,N,8739.4834,W,90
260408_215742_500,79062.500,4159.9907,N,8739.4834,W,90
260408_215742_600,79062.602,4159.9907,N,8739.4834,W,90
260408_215742_700,79062.703,4159.9907,N,8739.4834,W,90
260408_215742_800,79062.797,4159.9907,N,8739.4834,W,90
260408_215742_900,79062.898,4159.9907,N,8739.4834,W,91
260408_215743_000,79063.000,4159.9897,N,8739.4863,W,90
260408_215743_100,79063.102,4159.9897,N,8739.4863,W,90
260408_215743_200,79063.203,4159.9897,N,8739.4863,W,90
260408_215743_300,79063.297,4159.9897,N,8739.4863,W,91
260408_215743_400,79063.398,4159.9897,N,8739.4863,W,90
260408_215743_500,79063.500,4159.9897,N,8739.4863,W,90
260408_215743_600,79063.602,4159.9897,N,8739.4863,W,90
260408_215743_700,79063.703,4159.9897,N,8739.4863,W,90
260408_215743_800,79063.797,4159.9897,N,8739.4863,W,90
260408_215743_900,79063.898,4159.9897,N,8739.4863,W,90
260408_215744_000,79064.000,4159.9893,N,8739.4883,W,91
260408_215744_100,79064.102,4159.9893,N,8739.4883,W,90
260408_215744_200,79064.203,4159.9893,N,8739.4883,W,91
260408_215744_300,79064.297,4159.9893,N,8739.4883,W,90
260408_215744_400,79064.398,4159.9893,N,8739.4883,W,90
260408_215744_500,79064.500,4159.9893,N,8739.4883,W,90
260408_215744_600,79064.602,4159.9893,N,8739.4883,W,90
260408_215744_700,79064.703,4159.9893,N,8739.4883,W,90
260408_215744_800,79064.797,4159.9893,N,8739.4883,W,90
260408_215744_900,79064.898,4159.9893,N,8739.4883,W,90
260408_215745_000,79065.000,4159.9893,N,8739.4902,W,90
260408_215745_100,79065.102,4159.9893,N,8739.4902,W,91
260408_215745_200,79065.203,4159.9893,N,8739.4902,W,90
260408_215745_300,79065.297,4159.9893,N,8739.4902,W,91
260408_215745_400,79065.398,4159.9893,N,8739.4902,W,91
260408_215745_500,79065.500,4159.9893,N,8739.4902,W,91
260408_215745_600,79065.602,4159.9893,N,8739.4902,W,91
260408_215745_700,79065.703,4159.9893,N,8739.4902,W,90
260408_215745_800,79065.797,4159.9893,N,8739.4902,W,90
260408_215745_900,79065.898,4159.9893,N,8739.4902,W,90
260408_215746_000,79066.000,4159.9888,N,8739.4912,W,91
260408_215746_100,79066.102,4159.9888,N,8739.4912,W,91
260408_215746_200,79066.203,4159.9888,N,8739.4912,W,90
260408_215746_300,79066.297,4159.9888,N,8739.4912,W,90
260408_215746_400,79066.398,4159.9888,N,8739.4912,W,91
260408_215746_500,79066.500,4159.9888,N,8739.4912,W,90
260408_215746_600,79066.602,4159.9888,N,8739.4912,W,91
260408_215746_700,79066.703,4159.9888,N,8739.4912,W,91
260408_215746_800,79066.797,4159.9888,N,8739.4912,W,91
260408_215746_900,79066.898,4159.9888,N,8739.4912,W,90
260408_215747_000,79067.000,4159.9888,N,8739.4932,W,91
260408_215747_100,79067.102,4159.9888,N,8739.4932,W,91
260408_215747_200,79067.203,4159.9888,N,8739.4932,W,91
260408_215747_300,79067.297,4159.9888,N,8739.4932,W,91
260408_215747_400,79067.398,4159.9888,N,8739.4932,W,90
260408_215747_500,79067.500,4159.9888,N,8739.4932,W,91
260408_215747_600,79067.602,4159.9888,N,8739.4932,W,91
260408_215747_700,79067.703,4159.9888,N,8739.4932,W,91
260408_215747_800,79067.797,4159.9888,N,8739.4932,W,91
260408_215747_900,79067.898,4159.9888,N,8739.4932,W,91
260408_215748_000,79068.000,4159.9883,N,8739.4951,W,91
260408_215748_100,79068.102,4159.9883,N,8739.4951,W,90
260408_215748_200,79068.203,4159.9883,N,8739.4951,W,91
260408_215748_300,79068.297,4159.9883,N,8739.4951,W,91
260408_215748_400,79068.398,4159.9883,N,8739.4951,W,91
260408_215748_500,79068.500,4159.9883,N,8739.4951,W,90
260408_215748_600,79068.602,4159.9883,N,8739.4951,W,91
260408_215748_700,79068.703,4159.9883,N,8739.4951,W,91
260408_215748_800,79068.797,4159.9883,N,8739.4951,W,91
260408_215748_900,79068.898,4159.9883,N,8739.4951,W,91
260408_215749_000,79069.000,4159.9878,N,8739.4971,W,91
260408_215749_100,79069.102,4159.9878,N,8739.4971,W,91
260408_215749_200,79069.203,4159.9878,N,8739.4971,W,91
260408_215749_300,79069.297,4159.9878,N,8739.4971,W,91
260408_215749_400,79069.398,4159.9878,N,8739.4971,W,91
260408_215749_500,79069.500,4159.9878,N,8739.4971,W,91
260408_215749_600,79069.602,4159.9878,N,8739.4971,W,91
260408_215749_700,79069.703,4159.9878,N,8739.4971,W,91
260408_215749_800,79069.797,4159.9878,N,8739.4971,W,91
260408_215749_900,79069.898,4159.9878,N,8739.4971,W,91
260408_215750_000,79070.000,4159.9878,N,8739.4980,W,91
260408_215750_100,79070.102,4159.9878,N,8739.4980,W,91
260408_215750_200,79070.203,4159.9878,N,8739.4980,W,91
260408_215750_300,79070.297,4159.9878,N,8739.4980,W,91
260408_215750_400,79070.398,4159.9878,N,8739.4980,W,91
260408_215750_500,79070.500,4159.9878,N,8739.4980,W,91
260408_215750_600,79070.602,4159.9878,N,8739.4980,W,91
260408_215750_700,79070.703,4159.9878,N,8739.4980,W,91
260408_215750_800,79070.797,4159.9878,N,8739.4980,W,91
260408_215750_900,79070.898,4159.9878,N,8739.4980,W,91
260408_215751_000,79071.000,4159.9878,N,8739.4990,W,91
260408_215751_100,79071.102,4159.9878,N,8739.4990,W,91
260408_215751_200,79071.203,4159.9878,N,8739.4990,W,91
260408_215751_300,79071.297,4159.9878,N,8739.4990,W,91
260408_215751_400,79071.398,4159.9878,N,8739.4990,W,91
260408_215751_500,79071.500,4159.9878,N,8739.4990,W,91
260408_215751_600,79071.602,4159.9878,N,8739.4990,W,91
260408_215751_700,79071.703,4159.9878,N,8739.4990,W,91
260408_215751_800,79071.797,4159.9878,N,8739.4990,W,91
260408_215751_900,79071.898,4159.9878,N,8739.4990,W,91
260408_215752_000,79072.000,4159.9878,N,8739.5000,W,91
260408_215752_100,79072.102,4159.9878,N,8739.5000,W,91
260408_215752_200,79072.203,4159.9878,N,8739.5000,W,91
260408_215752_300,79072.297,4159.9878,N,8739.5000,W,91
260408_215752_400,79072.398,4159.9878,N,8739.5000,W,91
260408_215752_500,79072.500,4159.9878,N,8739.5000,W,91
260408_215752_600,79072.602,4159.9878,N,8739.5000,W,91
260408_215752_700,79072.703,4159.9878,N,8739.5000,W,91
260408_215752_800,79072.797,4159.9878,N,8739.5000,W,91
260408_215752_900,79072.898,4159.9878,N,8739.5000,W,91
260408_215753_000,79073.000,4159.9873,N,8739.5010,W,91
260408_215753_100,79073.102,4159.9873,N,8739.5010,W,91
260408_215753_200,79073.203,4159.9873,N,8739.5010,W,91
260408_215753_300,79073.297,4159.9873,N,8739.5010,W,91
260408_215753_400,79073.398,4159.9873,N,8739.5010,W,92
260408_215753_500,79073.500,4159.9873,N,8739.5010,W,91
260408_215753_600,79073.602,4159.9873,N,8739.5010,W,92
260408_215753_700,79073.703,4159.9873,N,8739.5010,W,92
260408_215753_800,79073.797,4159.9873,N,8739.5010,W,92
260408_215753_900,79073.898,4159.9873,N,8739.5010,W,91
260408_215754_000,79074.000,4159.9873,N,8739.5020,W,91
260408_215754_100,79074.102,4159.9873,N,8739.5020,W,91
260408_215754_200,79074.203,4159.9873,N,8739.5020,W,92
260408_215754_300,79074.297,4159.9873,N,8739.5020,W,91
260408_215754_400,79074.398,4159.9873,N,8739.5020,W,91
260408_215754_500,79074.500,4159.9873,N,8739.5020,W,91
260408_215754_600,79074.602,4159.9873,N,8739.5020,W,91
260408_215754_700,79074.703,4159.9873,N,8739.5020,W,91
260408_215754_800,79074.797,4159.9873,N,8739.5020,W,91
260408_215754_900,79074.898,4159.9873,N,8739.5020,W,91
260408_215755_000,79075.000,4159.9873,N,8739.5029,W,91
260408_215755_100,79075.102,4159.9873,N,8739.5029,W,91
260408_215755_200,79075.203,4159.9873,N,8739.5029,W,91
260408_215755_300,79075.297,4159.9873,N,8739.5029,W,91
260408_215755_400,79075.398,4159.9873,N,8739.5029,W,91
260408_215755_500,79075.500,4159.9873,N,8739.5029,W,92
260408_215755_600,79075.602,4159.9873,N,8739.5029,W,91
260408_215755_700,79075.703,4159.9873,N,8739.5029,W,91
260408_215755_800,79075.797,4159.9873,N,8739.5029,W,92
260408_215755_900,79075.898,4159.9873,N,8739.5029,W,91
260408_215756_000,79076.000,4159.9873,N,8739.5039,W,91
260408_215756_100,79076.102,4159.9873,N,8739.5039,W,91
260408_215756_200,79076.203,4159.9873,N,8739.5039,W,91
260408_215756_300,79076.297,4159.9873,N,8739.5039,W,91
260408_215756_400,79076.398,4159.9873,N,8739.5039,W,91
260408_215756_500,79076.500,4159.9873,N,8739.5039,W,91
260408_215756_600,79076.602,4159.9873,N,8739.5039,W,91
260408_215756_700,79076.703,4159.9873,N,8739.5039,W,92
260408_215756_800,79076.797,4159.9873,N,8739.5039,W,92
260408_215756_900,79076.898,4159.9873,N,8739.5039,W,91
260408_215757_000,79077.000,4159.9873,N,8739.5039,W,91
260408_215757_100,79077.102,4159.9873,N,8739.5039,W,91
260408_215757_200,79077.203,4159.9873,N,8739.5039,W,91
260408_215757_300,79077.297,4159.9873,N,8739.5039,W,91
260408_215757_400,79077.398,4159.9873,N,8739.5039,W,92
260408_215757_500,79077.500,4159.9873,N,8739.5039,W,91
260408_215757_600,79077.602,4159.9873,N,8739.5039,W,92
260408_215757_700,79077.703,4159.9873,N,8739.5039,W,92
260408_215757_800,79077.797,4159.9873,N,8739.5039,W,91
260408_215757_900,79077.898,4159.9873,N,8739.5039,W,92
260408_215758_000,79078.000,4159.9873,N,8739.5039,W,92
260408_215758_100,79078.102,4159.9873,N,8739.5039,W,91
260408_215758_200,79078.203,4159.9873,N,8739.5039,W,92
260408_215758_300,79078.297,4159.9873,N,8739.5039,W,92
260408_215758_400,79078.398,4159.9873,N,8739.5039,W,91
260408_215758_500,79078.500,4159.9873,N,8739.5039,W,92
260408_215758_600,79078.602,4159.9873,N,8739.5039,W,92
260408_215758_700,79078.703,4159.9873,N,8739.5039,W,92
260408_215758_800,79078.797,4159.9873,N,8739.5039,W,91
260408_215758_900,79078.898,4159.9873,N,8739.5039,W,92
260408_215759_000,79079.000,4159.9873,N,8739.5039,W,92
260408_215759_100,79079.102,4159.9873,N,8739.5039,W,92
260408_215759_200,79079.203,4159.9873,N,8739.5039,W,92
260408_215759_300,79079.297,4159.9873,N,8739.5039,W,91
260408_215759_400,79079.398,4159.9873,N,8739.5039,W,91
260408_215759_500,79079.500,4159.9873,N,8739.5039,W,92
260408_215759_600,79079.602,4159.9873,N,8739.5039,W,91
260408_215759_700,79079.703,4159.9873,N,8739.5039,W,91
260408_215759_800,79079.797,4159.9873,N,8739.5039,W,92
260408_215759_900,79079.898,4159.9873,N,8739.5039,W,91
260408_215800_000,79080.000,4159.9873,N,8739.5049,W,91
260408_215800_100,79080.102,4159.9873,N,8739.5049,W,92
260408_215800_200,79080.203,4159.9873,N,8739.5049,W,91
260408_215800_300,79080.297,4159.9873,N,8739.5049,W,92
260408_215800_400,79080.398,4159.9873,N,8739.5049,W,91
260408_215800_500,79080.500,4159.9873,N,8739.5049,W,91
260408_215800_600,79080.602,4159.9873,N,8739.5049,W,91
260408_215800_700,79080.703,4159.9873,N,8739.5049,W,92
260408_215800_800,79080.797,4159.9873,N,8739.5049,W,92
260408_215800_900,79080.898,4159.9873,N,8739.5049,W,92
260408_215801_000,79081.000,4159.9878,N,8739.5049,W,92
260408_215801_100,79081.102,4159.9878,N,8739.5049,W,92
260408_215801_200,79081.203,4159.9878,N,8739.5049,W,91
260408_215801_300,79081.297,4159.9878,N,8739.5049,W,92
260408_215801_400,79081.398,4159.9878,N,8739.5049,W,92
260408_215801_500,79081.500,4159.9878,N,8739.5049,W,92
260408_215801_600,79081.602,4159.9878,N,8739.5049,W,91
