timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260407_233210_000,84730.000,4159.9731,N,8739.4512,W,94
260407_233210_430,84730.430,4159.9731,N,8739.4512,W,73
260407_233210_529,84730.531,4159.9731,N,8739.4512,W,76
260407_233210_629,84730.633,4159.9731,N,8739.4512,W,79
260407_233210_729,84730.727,4159.9731,N,8739.4512,W,80
260407_233210_829,84730.828,4159.9731,N,8739.4512,W,81
260407_233210_929,84730.930,4159.9731,N,8739.4512,W,82
260407_233211_000,84731.000,4159.9736,N,8739.4512,W,82
260407_233211_100,84731.102,4159.9736,N,8739.4512,W,83
260407_233211_200,84731.203,4159.9736,N,8739.4512,W,83
260407_233211_300,84731.297,4159.9736,N,8739.4512,W,83
260407_233211_400,84731.398,4159.9736,N,8739.4512,W,83
260407_233211_500,84731.500,4159.9736,N,8739.4512,W,84
260407_233211_600,84731.602,4159.9736,N,8739.4512,W,84
260407_233211_700,84731.703,4159.9736,N,8739.4512,W,84
260407_233211_800,84731.797,4159.9736,N,8739.4512,W,84
260407_233211_900,84731.898,4159.9736,N,8739.4512,W,84
260407_233212_000,84732.000,4159.9736,N,8739.4512,W,84
260407_233212_100,84732.102,4159.9736,N,8739.4512,W,84
260407_233212_200,84732.203,4159.9736,N,8739.4512,W,84
260407_233212_300,84732.297,4159.9736,N,8739.4512,W,84
260407_233212_400,84732.398,4159.9736,N,8739.4512,W,85
260407_233212_500,84732.500,4159.9736,N,8739.4512,W,85
260407_233212_600,84732.602,4159.9736,N,8739.4512,W,85
260407_233212_700,84732.703,4159.9736,N,8739.4512,W,84
260407_233212_800,84732.797,4159.9736,N,8739.4512,W,85
260407_233212_900,84732.898,4159.9736,N,8739.4512,W,85
260407_233213_000,84733.000,4159.9736,N,8739.4502,W,85
260407_233213_100,84733.102,4159.9736,N,8739.4502,W,86
260407_233213_200,84733.203,4159.9736,N,8739.4502,W,85
260407_233213_300,84733.297,4159.9736,N,8739.4502,W,86
260407_233213_400,84733.398,4159.9736,N,8739.4502,W,86
260407_233213_500,84733.500,4159.9736,N,8739.4502,W,86
260407_233213_600,84733.602,4159.9736,N,8739.4502,W,86
260407_233213_700,84733.703,4159.9736,N,8739.4502,W,86
260407_233213_800,84733.797,4159.9736,N,8739.4502,W,86
260407_233213_900,84733.898,4159.9736,N,8739.4502,W,86
260407_233214_000,84734.000,4159.9736,N,8739.4492,W,87
260407_233214_100,84734.102,4159.9736,N,8739.4492,W,87
260407_233214_200,84734.203,4159.9736,N,8739.4492,W,87
260407_233214_300,84734.297,4159.9736,N,8739.4492,W,87
260407_233214_400,84734.398,4159.9736,N,8739.4492,W,87
260407_233214_500,84734.500,4159.9736,N,8739.4492,W,87
260407_233214_600,84734.602,4159.9736,N,8739.4492,W,87
260407_233214_700,84734.703,4159.9736,N,8739.4492,W,87
260407_233214_800,84734.797,4159.9736,N,8739.4492,W,87
260407_233214_900,84734.898,4159.9736,N,8739.4492,W,87
260407_233215_000,84735.000,4159.9736,N,8739.4492,W,88
260407_233215_100,84735.102,4159.9736,N,8739.4492,W,88
260407_233215_200,84735.203,4159.9736,N,8739.4492,W,88
260407_233215_300,84735.297,4159.9736,N,8739.4492,W,88
260407_233215_400,84735.398,4159.9736,N,8739.4492,W,89
260407_233215_500,84735.500,4159.9736,N,8739.4492,W,89
260407_233215_600,84735.602,4159.9736,N,8739.4492,W,89
260407_233215_700,84735.703,4159.9736,N,8739.4492,W,89
260407_233215_800,84735.797,4159.9736,N,8739.4492,W,89
260407_233215_900,84735.898,4159.9736,N,8739.4492,W,89
260407_233216_000,84736.000,4159.9741,N,8739.4482,W,89
260407_233216_100,84736.102,4159.9741,N,8739.4482,W,89
260407_233216_200,84736.203,4159.9741,N,8739.4482,W,89
260407_233216_300,84736.297,4159.9741,N,8739.4482,W,89
260407_233216_400,84736.398,4159.9741,N,8739.4482,W,89
260407_233216_500,84736.500,4159.9741,N,8739.4482,W,90
260407_233216_600,84736.602,4159.9741,N,8739.4482,W,90
260407_233216_700,84736.703,4159.9741,N,8739.4482,W,89
260407_233216_800,84736.797,4159.9741,N,8739.4482,W,90
260407_233216_900,84736.898,4159.9741,N,8739.4482,W,90
260407_233217_000,84737.000,4159.9736,N,8739.4482,W,89
260407_233217_100,84737.102,4159.9736,N,8739.4482,W,90
260407_233217_200,84737.203,4159.9736,N,8739.4482,W,90
260407_233217_300,84737.297,4159.9736,N,8739.4482,W,90
260407_233217_400,84737.398,4159.9736,N,8739.4482,W,90
260407_233217_500,84737.500,4159.9736,N,8739.4482,W,90
260407_233217_600,84737.602,4159.9736,N,8739.4482,W,90
260407_233217_700,84737.703,4159.9736,N,8739.4482,W,90
260407_233217_800,84737.797,4159.9736,N,8739.4482,W,90
260407_233217_900,84737.898,4159.9736,N,8739.4482,W,90
260407_233218_000,84738.000,4159.9736,N,8739.4473,W,91
260407_233218_100,84738.102,4159.9736,N,8739.4473,W,91
260407_233218_200,84738.203,4159.9736,N,8739.4473,W,91
260407_233218_300,84738.297,4159.9736,N,8739.4473,W,90
260407_233218_400,84738.398,4159.9736,N,8739.4473,W,91
260407_233218_500,84738.500,4159.9736,N,8739.4473,W,91
260407_233218_600,84738.602,4159.9736,N,8739.4473,W,91
260407_233218_700,84738.703,4159.9736,N,8739.4473,W,91
260407_233218_800,84738.797,4159.9736,N,8739.4473,W,91
260407_233218_900,84738.898,4159.9736,N,8739.4473,W,91
260407_233219_000,84739.000,4159.9736,N,8739.4473,W,91
260407_233219_100,84739.102,4159.9736,N,8739.4473,W,91
260407_233219_200,84739.203,4159.9736,N,8739.4473,W,91
260407_233219_300,84739.297,4159.9736,N,8739.4473,W,91
260407_233219_400,84739.398,4159.9736,N,8739.4473,W,91
260407_233219_500,84739.500,4159.9736,N,8739.4473,W,91
260407_233219_600,84739.602,4159.9736,N,8739.4473,W,92
260407_233219_700,84739.703,4159.9736,N,8739.4473,W,91
260407_233219_800,84739.797,4159.9736,N,8739.4473,W,91
260407_233219_900,84739.898,4159.9736,N,8739.4473,W,91
260407_233220_000,84740.000,4159.9741,N,8739.4473,W,92
260407_233220_100,84740.102,4159.9741,N,8739.4473,W,91
260407_233220_200,84740.203,4159.9741,N,8739.4473,W,92
260407_233220_300,84740.297,4159.9741,N,8739.4473,W,91
260407_233220_400,84740.398,4159.9741,N,8739.4473,W,92
260407_233220_500,84740.500,4159.9741,N,8739.4473,W,92
260407_233220_600,84740.602,4159.9741,N,8739.4473,W,92
260407_233220_700,84740.703,4159.9741,N,8739.4473,W,92
260407_233220_800,84740.797,4159.9741,N,8739.4473,W,92
260407_233220_900,84740.898,4159.9741,N,8739.4473,W,92
260407_233221_000,84741.000,4159.9741,N,8739.4473,W,92
260407_233221_100,84741.102,4159.9741,N,8739.4473,W,92
260407_233221_200,84741.203,4159.9741,N,8739.4473,W,92
260407_233221_300,84741.297,4159.9741,N,8739.4473,W,91
260407_233221_400,84741.398,4159.9741,N,8739.4473,W,92
260407_233221_500,84741.500,4159.9741,N,8739.4473,W,92
260407_233221_600,84741.602,4159.9741,N,8739.4473,W,92
260407_233221_700,84741.703,4159.9741,N,8739.4473,W,92
260407_233221_800,84741.797,4159.9741,N,8739.4473,W,91
260407_233221_900,84741.898,4159.9741,N,8739.4473,W,91
260407_233222_000,84742.000,4159.9741,N,8739.4473,W,92
260407_233222_100,84742.102,4159.9741,N,8739.4473,W,92
260407_233222_200,84742.203,4159.9741,N,8739.4473,W,93
260407_233222_300,84742.297,4159.9741,N,8739.4473,W,92
260407_233222_400,84742.398,4159.9741,N,8739.4473,W,92
260407_233222_500,84742.500,4159.9741,N,8739.4473,W,92
260407_233222_600,84742.602,4159.9741,N,8739.4473,W,93
260407_233222_700,84742.703,4159.9741,N,8739.4473,W,93
260407_233222_800,84742.797,4159.9741,N,8739.4473,W,93
260407_233222_900,84742.898,4159.9741,N,8739.4473,W,92
260407_233223_000,84743.000,4159.9741,N,8739.4473,W,93
260407_233223_100,84743.102,4159.9741,N,8739.4473,W,93
260407_233223_200,84743.203,4159.9741,N,8739.4473,W,93
260407_233223_300,84743.297,4159.9741,N,8739.4473,W,93
260407_233223_400,84743.398,4159.9741,N,8739.4473,W,93
260407_233223_500,84743.500,4159.9741,N,8739.4473,W,93
260407_233223_600,84743.602,4159.9741,N,8739.4473,W,93
260407_233223_700,84743.703,4159.9741,N,8739.4473,W,93
260407_233223_800,84743.797,4159.9741,N,8739.4473,W,93
260407_233223_900,84743.898,4159.9741,N,8739.4473,W,93
260407_233224_000,84744.000,4159.9741,N,8739.4473,W,94
260407_233224_100,84744.102,4159.9741,N,8739.4473,W,93
260407_233224_200,84744.203,4159.9741,N,8739.4473,W,93
260407_233224_300,84744.297,4159.9741,N,8739.4473,W,94
260407_233224_400,84744.398,4159.9741,N,8739.4473,W,93
260407_233224_500,84744.500,4159.9741,N,8739.4473,W,94
260407_233224_600,84744.602,4159.9741,N,8739.4473,W,94
260407_233224_700,84744.703,4159.9741,N,8739.4473,W,93
260407_233224_800,84744.797,4159.9741,N,8739.4473,W,94
260407_233224_900,84744.898,4159.9741,N,8739.4473,W,94
260407_233225_000,84745.000,4159.9746,N,8739.4473,W,94
260407_233225_100,84745.102,4159.9746,N,8739.4473,W,94
260407_233225_200,84745.203,4159.9746,N,8739.4473,W,94
260407_233225_300,84745.297,4159.9746,N,8739.4473,W,94
260407_233225_400,84745.398,4159.9746,N,8739.4473,W,94
260407_233225_500,84745.500,4159.9746,N,8739.4473,W,94
260407_233225_600,84745.602,4159.9746,N,8739.4473,W,94
260407_233225_700,84745.703,4159.9746,N,8739.4473,W,94
