timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260407_224230_000,81750.000,4200.0562,N,8739.6826,W,72
260407_224230_426,81750.430,4200.0562,N,8739.6826,W,84
260407_224230_525,81750.523,4200.0562,N,8739.6826,W,92
260407_224230_625,81750.625,4200.0562,N,8739.6826,W,97
260407_224230_725,81750.727,4200.0562,N,8739.6826,W,103
260407_224230_825,81750.828,4200.0562,N,8739.6826,W,103
260407_224230_925,81750.922,4200.0562,N,8739.6826,W,103
260407_224231_025,81751.023,4200.0562,N,8739.6826,W,85
260407_224231_125,81751.125,4200.0562,N,8739.6826,W,77
260407_224231_225,81751.227,4200.0562,N,8739.6826,W,59
260407_224231_325,81751.328,4200.0562,N,8739.6826,W,85
260407_224231_425,81751.422,4200.0562,N,8739.6826,W,79
260407_224231_525,81751.523,4200.0562,N,8739.6826,W,57
260407_224232_000,81752.000,4200.0566,N,8739.6816,W,44
260407_224232_100,81752.102,4200.0566,N,8739.6816,W,40
260407_224232_200,81752.203,4200.0566,N,8739.6816,W,41
260407_224232_300,81752.297,4200.0566,N,8739.6816,W,52
260407_224232_400,81752.398,4200.0566,N,8739.6816,W,63
260407_224232_500,81752.500,4200.0566,N,8739.6816,W,81
260407_224232_600,81752.602,4200.0566,N,8739.6816,W,94
260407_224232_700,81752.703,4200.0566,N,8739.6816,W,100
260407_224232_800,81752.797,4200.0566,N,8739.6816,W,95
260407_224232_900,81752.898,4200.0566,N,8739.6816,W,92
260407_224233_000,81753.000,4200.0571,N,8739.6797,W,96
260407_224233_100,81753.102,4200.0571,N,8739.6797,W,95
260407_224233_200,81753.203,4200.0571,N,8739.6797,W,96
260407_224233_300,81753.297,4200.0571,N,8739.6797,W,104
260407_224233_400,81753.398,4200.0571,N,8739.6797,W,108
260407_224233_500,81753.500,4200.0571,N,8739.6797,W,101
260407_224233_600,81753.602,4200.0571,N,8739.6797,W,99
260407_224233_700,81753.703,4200.0571,N,8739.6797,W,108
260407_224233_800,81753.797,4200.0571,N,8739.6797,W,116
260407_224233_900,81753.898,4200.0571,N,8739.6797,W,115
260407_224234_000,81754.000,4200.0576,N,8739.6797,W,112
260407_224234_100,81754.102,4200.0576,N,8739.6797,W,117
260407_224234_200,81754.203,4200.0576,N,8739.6797,W,98
260407_224234_300,81754.297,4200.0576,N,8739.6797,W,92
260407_224234_400,81754.398,4200.0576,N,8739.6797,W,79
260407_224234_500,81754.500,4200.0576,N,8739.6797,W,74
260407_224234_600,81754.602,4200.0576,N,8739.6797,W,76
260407_224234_700,81754.703,4200.0576,N,8739.6797,W,77
260407_224234_800,81754.797,4200.0576,N,8739.6797,W,64
260407_224234_900,81754.898,4200.0576,N,8739.6797,W,61
260407_224235_000,81755.000,4200.0576,N,8739.6787,W,76
260407_224235_100,81755.102,4200.0576,N,8739.6787,W,86
260407_224235_200,81755.203,4200.0576,N,8739.6787,W,91
260407_224235_300,81755.297,4200.0576,N,8739.6787,W,97
260407_224235_400,81755.398,4200.0576,N,8739.6787,W,103
260407_224235_500,81755.500,4200.0576,N,8739.6787,W,106
260407_224235_600,81755.602,4200.0576,N,8739.6787,W,106
260407_224235_700,81755.703,4200.0576,N,8739.6787,W,108
260407_224235_800,81755.797,4200.0576,N,8739.6787,W,109
260407_224235_900,81755.898,4200.0576,N,8739.6787,W,108
260407_224236_000,81756.000,4200.0576,N,8739.6777,W,110
260407_224236_100,81756.102,4200.0576,N,8739.6777,W,108
260407_224236_200,81756.203,4200.0576,N,8739.6777,W,108
260407_224236_300,81756.297,4200.0576,N,8739.6777,W,107
260407_224236_400,81756.398,4200.0576,N,8739.6777,W,107
