timecode,seconds,lat,lat_dir,lon,lon_dir,sensor
260407_213026_000,77426.000,4200.0703,N,8739.6562,W,71
260407_213026_426,77426.430,4200.0703,N,8739.6562,W,32
260407_213026_525,77426.523,4200.0703,N,8739.6562,W,37
260407_213026_625,77426.625,4200.0703,N,8739.6562,W,45
260407_213026_725,77426.727,4200.0703,N,8739.6562,W,43
260407_213026_825,77426.828,4200.0703,N,8739.6562,W,56
260407_213026_925,77426.922,4200.0703,N,8739.6562,W,70
260407_213027_000,77427.000,4200.0654,N,8739.6621,W,69
260407_213027_100,77427.102,4200.0654,N,8739.6621,W,76
260407_213027_200,77427.203,4200.0654,N,8739.6621,W,101
260407_213027_300,77427.297,4200.0654,N,8739.6621,W,103
260407_213027_400,77427.398,4200.0654,N,8739.6621,W,107
260407_213027_500,77427.500,4200.0654,N,8739.6621,W,95
260407_213027_600,77427.602,4200.0654,N,8739.6621,W,89
260407_213027_700,77427.703,4200.0654,N,8739.6621,W,92
260407_213027_800,77427.797,4200.0654,N,8739.6621,W,89
260407_213027_900,77427.898,4200.0654,N,8739.6621,W,80
260407_213028_000,77428.000,4200.0635,N,8739.6641,W,88
260407_213028_100,77428.102,4200.0635,N,8739.6641,W,105
260407_213028_200,77428.203,4200.0635,N,8739.6641,W,104
260407_213028_300,77428.297,4200.0635,N,8739.6641,W,90
260407_213028_400,77428.398,4200.0635,N,8739.6641,W,96
260407_213028_500,77428.500,4200.0635,N,8739.6641,W,102
260407_213028_600,77428.602,4200.0635,N,8739.6641,W,100
260407_213028_700,77428.703,4200.0635,N,8739.6641,W,98
260407_213028_800,77428.797,4200.0635,N,8739.6641,W,100
260407_213028_900,77428.898,4200.0635,N,8739.6641,W,95
260407_213029_000,77429.000,4200.0615,N,8739.6670,W,103
260407_213029_100,77429.102,4200.0615,N,8739.6670,W,119
260407_213029_200,77429.203,4200.0615,N,8739.6670,W,117
260407_213029_300,77429.297,4200.0615,N,8739.6670,W,121
260407_213029_400,77429.398,4200.0615,N,8739.6670,W,120
260407_213029_500,77429.500,4200.0615,N,8739.6670,W,117
260407_213029_600,77429.602,4200.0615,N,8739.6670,W,96
260407_213029_700,77429.703,4200.0615,N,8739.6670,W,86
260407_213029_800,77429.797,4200.0615,N,8739.6670,W,98
260407_213029_900,77429.898,4200.0615,N,8739.6670,W,113
260407_213030_000,77430.000,4200.0586,N,8739.6699,W,107
260407_213030_100,77430.102,4200.0586,N,8739.6699,W,82
260407_213030_200,77430.203,4200.0586,N,8739.6699,W,91
260407_213030_300,77430.297,4200.0586,N,8739.6699,W,91
260407_213030_400,77430.398,4200.0586,N,8739.6699,W,100
260407_213030_500,77430.500,4200.0586,N,8739.6699,W,101
