timecode,seconds,lat,lat_dir,lon,lon_dir,sensor,trigger_num,trigger_time_small,matched_time_large,match_time_diff,relative_row,relative_time
260330_201635_000,72995.0,4159.9839,N,8739.4443,W,217,0,73000,73000.0,0.0,-50,-5.0
260330_201635_000,72995.0,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-49,-5.0
260330_201635_100,72995.102,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-48,-4.898000000001048
260330_201635_200,72995.203,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-47,-4.797000000005937
260330_201635_300,72995.297,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-46,-4.702999999994063
260330_201635_400,72995.398,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-45,-4.601999999998952
260330_201635_500,72995.5,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-44,-4.5
260330_201635_600,72995.602,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-43,-4.398000000001048
260330_201635_700,72995.703,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-42,-4.297000000005937
260330_201635_800,72995.797,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-41,-4.202999999994063
260330_201635_900,72995.898,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-40,-4.101999999998952
260330_201636_000,72996.0,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-39,-4.0
260330_201636_100,72996.102,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-38,-3.8980000000010477
260330_201636_200,72996.203,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-37,-3.797000000005937
260330_201636_300,72996.297,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-36,-3.702999999994063
260330_201636_400,72996.398,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-35,-3.6019999999989523
260330_201636_500,72996.5,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-34,-3.5
260330_201636_600,72996.602,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-33,-3.3980000000010477
260330_201636_700,72996.703,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-32,-3.297000000005937
260330_201636_800,72996.797,4159.9839,N,8739.4434,W,217,0,73000,73000.0,0.0,-31,-3.202999999994063
260330_201636_900,72996.898,4159.9839,N,8739.4434,W,218,0,73000,73000.0,0.0,-30,-3.1019999999989523
260330_201637_000,72997.0,4159.9839,N,8739.4424,W,218,0,73000,73000.0,0.0,-29,-3.0
260330_201637_100,72997.102,4159.9839,N,8739.4424,W,219,0,73000,73000.0,0.0,-28,-2.8980000000010477
260330_201637_200,72997.203,4159.9839,N,8739.4424,W,218,0,73000,73000.0,0.0,-27,-2.797000000005937
260330_201637_300,72997.297,4159.9839,N,8739.4424,W,217,0,73000,73000.0,0.0,-26,-2.702999999994063
260330_201637_400,72997.398,4159.9839,N,8739.4424,W,217,0,73000,73000.0,0.0,-25,-2.6019999999989523
260330_201637_500,72997.5,4159.9839,N,8739.4424,W,216,0,73000,73000.0,0.0,-24,-2.5
260330_201637_600,72997.602,4159.9839,N,8739.4424,W,216,0,73000,73000.0,0.0,-23,-2.3980000000010477
260330_201637_700,72997.703,4159.9839,N,8739.4424,W,216,0,73000,73000.0,0.0,-22,-2.297000000005937
260330_201637_800,72997.797,4159.9839,N,8739.4424,W,216,0,73000,73000.0,0.0,-21,-2.202999999994063
260330_201638_000,72998.0,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,-20,-2.0
260330_201638_100,72998.102,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,-19,-1.8980000000010477
260330_201638_200,72998.203,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,-18,-1.7970000000059372
260330_201638_300,72998.297,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,-17,-1.7029999999940628
260330_201638_400,72998.398,4159.9844,N,8739.4424,W,217,0,73000,73000.0,0.0,-16,-1.6019999999989523
260330_201638_500,72998.5,4159.9844,N,8739.4424,W,217,0,73000,73000.0,0.0,-15,-1.5
260330_201638_600,72998.602,4159.9844,N,8739.4424,W,217,0,73000,73000.0,0.0,-14,-1.3980000000010477
260330_201638_700,72998.703,4159.9844,N,8739.4424,W,217,0,73000,73000.0,0.0,-13,-1.2970000000059372
260330_201638_800,72998.797,4159.9844,N,8739.4424,W,217,0,73000,73000.0,0.0,-12,-1.2029999999940628
260330_201638_900,72998.898,4159.9844,N,8739.4424,W,217,0,73000,73000.0,0.0,-11,-1.1019999999989523
260330_201639_000,72999.0,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,-10,-1.0
260330_201639_100,72999.102,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,-9,-0.8980000000010477
260330_201639_200,72999.203,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,-8,-0.7970000000059372
260330_201639_300,72999.297,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,-7,-0.7029999999940628
260330_201639_400,72999.398,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,-6,-0.6019999999989523
260330_201639_500,72999.5,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,-5,-0.5
260330_201639_600,72999.602,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,-4,-0.39800000000104774
260330_201639_700,72999.703,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,-3,-0.2970000000059372
260330_201639_800,72999.797,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,-2,-0.20299999999406282
260330_201639_900,72999.898,4159.9844,N,8739.4424,W,214,0,73000,73000.0,0.0,-1,-0.10199999999895226
260330_201640_000,73000.0,4159.9844,N,8739.4424,W,213,0,73000,73000.0,0.0,0,0.0
260330_201640_100,73000.102,4159.9844,N,8739.4424,W,213,0,73000,73000.0,0.0,1,0.10199999999895226
260330_201640_200,73000.203,4159.9844,N,8739.4424,W,213,0,73000,73000.0,0.0,2,0.20299999999406282
260330_201640_300,73000.297,4159.9844,N,8739.4424,W,214,0,73000,73000.0,0.0,3,0.2970000000059372
260330_201640_400,73000.398,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,4,0.39800000000104774
260330_201640_500,73000.5,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,5,0.5
260330_201640_600,73000.602,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,6,0.6019999999989523
260330_201640_700,73000.703,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,7,0.7029999999940628
260330_201640_800,73000.797,4159.9844,N,8739.4424,W,215,0,73000,73000.0,0.0,8,0.7970000000059372
260330_201640_900,73000.898,4159.9844,N,8739.4424,W,216,0,73000,73000.0,0.0,9,0.8980000000010477
260330_201641_000,73001.0,4159.9844,N,8739.4424,W,218,0,73000,73000.0,0.0,10,1.0
260330_201641_100,73001.102,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,11,1.1019999999989523
260330_201641_200,73001.203,4159.9844,N,8739.4424,W,221,0,73000,73000.0,0.0,12,1.2029999999940628
260330_201641_300,73001.297,4159.9844,N,8739.4424,W,221,0,73000,73000.0,0.0,13,1.2970000000059372
260330_201641_400,73001.398,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,14,1.3980000000010477
260330_201641_500,73001.5,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,15,1.5
260330_201641_600,73001.602,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,16,1.6019999999989523
260330_201641_700,73001.703,4159.9844,N,8739.4424,W,220,0,73000,73000.0,0.0,17,1.7029999999940628
260330_201641_800,73001.797,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,18,1.7970000000059372
260330_201641_900,73001.898,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,19,1.8980000000010477
260330_201642_000,73002.0,4159.9844,N,8739.4424,W,219,0,73000,73000.0,0.0,20,2.0
